Subject	Context	SessionDate	SessionTime	proposer	receivor	type	choose	Wait2.RT	targettext
123.0	gain	08-12-2021	15:46:53						
123.0	gain	08-12-2021	15:46:53	6.0	4.0	fair	接受	12221.0	5.0
123.0	gain	08-12-2021	15:46:53	5.0	5.0	fair	接受	1791.0	3.0
123.0	gain	08-12-2021	15:46:53	7.0	3.0	7月3日	接受	5804.0	5.0
123.0	gain	08-12-2021	15:46:53	9.0	1.0	unfair	接受	433.0	3.0
123.0	gain	08-12-2021	15:46:53	8.0	2.0	unfair	接受	591.0	3.0
123.0	gain	08-12-2021	15:46:53	5.0	5.0	fair	接受	321.0	4.0
123.0	gain	08-12-2021	15:46:53	7.0	3.0	7月3日	接受	1939.0	5.0
123.0	gain	08-12-2021	15:46:53	8.0	2.0	unfair	接受	2872.0	3.0
123.0	gain	08-12-2021	15:46:53	6.0	4.0	fair	接受	3991.0	3.0
123.0	gain	08-12-2021	15:46:53	9.0	1.0	unfair	接受	6291.0	3.0
123.0	gain	08-12-2021	15:46:53						
123.0	gain	08-12-2021	15:46:53						
123.0	gain	08-12-2021	15:46:53	8.0	2.0	unfair	接受	17246.0	5.0
123.0	gain	08-12-2021	15:46:53	6.0	4.0	fair	接受	674.0	5.0
123.0	gain	08-12-2021	15:46:53	9.0	1.0	unfair	接受	454.0	3.0
123.0	gain	08-12-2021	15:46:53	5.0	5.0	fair	接受	161.0	3.0
123.0	gain	08-12-2021	15:46:53	7.0	3.0	7月3日	接受	285.0	3.0
123.0	gain	08-12-2021	15:46:53	7.0	3.0	7月3日	接受	128.0	3.0
123.0	gain	08-12-2021	15:46:53	5.0	5.0	fair	接受	988.0	3.0
123.0	gain	08-12-2021	15:46:53	9.0	1.0	unfair	接受	400.0	3.0
123.0	gain	08-12-2021	15:46:53	6.0	4.0	fair	接受	57.0	3.0
123.0	gain	08-12-2021	15:46:53	8.0	2.0	unfair	接受	1597.0	5.0
123.0	gain	08-12-2021	15:46:53						
123.0	gain	08-12-2021	15:46:53						
123.0	gain	08-12-2021	15:46:53	5.0	5.0	fair	接受	596.0	3.0
123.0	gain	08-12-2021	15:46:53	9.0	1.0	unfair	接受	1147.0	3.0
123.0	gain	08-12-2021	15:46:53	6.0	4.0	fair	接受	495.0	5.0
123.0	gain	08-12-2021	15:46:53	8.0	2.0	unfair	接受	774.0	3.0
123.0	gain	08-12-2021	15:46:53	7.0	3.0	7月3日	接受	3883.0	3.0
123.0	gain	08-12-2021	15:46:53	6.0	4.0	fair	接受	386.0	3.0
123.0	gain	08-12-2021	15:46:53	8.0	2.0	unfair	接受	747.0	3.0
123.0	gain	08-12-2021	15:46:53	5.0	5.0	fair	接受	1185.0	3.0
123.0	gain	08-12-2021	15:46:53	7.0	3.0	7月3日	接受	209.0	3.0
123.0	gain	08-12-2021	15:46:53	9.0	1.0	unfair	接受	371.0	3.0
123.0	gain	08-12-2021	15:46:53						
123.0	gain	08-12-2021	15:46:53						
123.0	gain	08-12-2021	15:46:53	7.0	3.0	7月3日	接受	543.0	3.0
123.0	gain	08-12-2021	15:46:53	9.0	1.0	unfair	接受	928.0	4.0
123.0	gain	08-12-2021	15:46:53	6.0	4.0	fair	接受	456.0	3.0
123.0	gain	08-12-2021	15:46:53	5.0	5.0	fair	接受	2699.0	5.0
123.0	gain	08-12-2021	15:46:53	8.0	2.0	unfair	接受	930.0	3.0
123.0	gain	08-12-2021	15:46:53	5.0	5.0	fair	接受	3000.0	5.0
123.0	gain	08-12-2021	15:46:53	7.0	3.0	7月3日	接受	657.0	3.0
123.0	gain	08-12-2021	15:46:53	6.0	4.0	fair	接受	812.0	3.0
123.0	gain	08-12-2021	15:46:53	9.0	1.0	unfair	接受	1023.0	1.0
123.0	gain	08-12-2021	15:46:53	8.0	2.0	unfair	接受	711.0	3.0
123.0	loss	08-12-2021	15:51:57						
123.0	loss	08-12-2021	15:51:57	-5.0	-5.0	fair	接受	2874.0	1.0
123.0	loss	08-12-2021	15:51:57	-4.0	-6.0	fair	接受	754.0	1.0
123.0	loss	08-12-2021	15:51:57	-1.0	-9.0	unfair	接受	33592.0	4.0
123.0	loss	08-12-2021	15:51:57	-3.0	-7.0	7月3日	接受	798.0	3.0
123.0	loss	08-12-2021	15:51:57	-2.0	-8.0	unfair	接受	16244.0	4.0
123.0	loss	08-12-2021	15:51:57	-3.0	-7.0	7月3日	接受	84.0	3.0
123.0	loss	08-12-2021	15:51:57	-5.0	-5.0	fair	接受	1219.0	3.0
123.0	loss	08-12-2021	15:51:57	-2.0	-8.0	unfair	接受	338.0	3.0
123.0	loss	08-12-2021	15:51:57	-4.0	-6.0	fair	接受	127.0	3.0
123.0	loss	08-12-2021	15:51:57	-1.0	-9.0	unfair	接受	163.0	3.0
123.0	loss	08-12-2021	15:51:57						
123.0	loss	08-12-2021	15:51:57						
123.0	loss	08-12-2021	15:51:57	-1.0	-9.0	unfair	接受	155.0	3.0
123.0	loss	08-12-2021	15:51:57	-2.0	-8.0	unfair	接受	560.0	3.0
123.0	loss	08-12-2021	15:51:57	-3.0	-7.0	7月3日	接受	1745.0	1.0
123.0	loss	08-12-2021	15:51:57	-5.0	-5.0	fair	接受	201.0	3.0
123.0	loss	08-12-2021	15:51:57	-4.0	-6.0	fair	接受	697.0	3.0
123.0	loss	08-12-2021	15:51:57	-3.0	-7.0	7月3日	接受	339.0	3.0
123.0	loss	08-12-2021	15:51:57	-2.0	-8.0	unfair	接受	257.0	3.0
123.0	loss	08-12-2021	15:51:57	-4.0	-6.0	fair	接受	52.0	3.0
123.0	loss	08-12-2021	15:51:57	-1.0	-9.0	unfair	接受	971.0	3.0
123.0	loss	08-12-2021	15:51:57	-5.0	-5.0	fair	接受	476.0	3.0
123.0	loss	08-12-2021	15:51:57						
123.0	loss	08-12-2021	15:51:57						
123.0	loss	08-12-2021	15:51:57	-2.0	-8.0	unfair	接受	9946.0	2.0
123.0	loss	08-12-2021	15:51:57	-1.0	-9.0	unfair	接受	6928.0	3.0
123.0	loss	08-12-2021	15:51:57	-3.0	-7.0	7月3日	接受	91.0	3.0
123.0	loss	08-12-2021	15:51:57	-5.0	-5.0	fair	接受	664.0	3.0
123.0	loss	08-12-2021	15:51:57	-4.0	-6.0	fair	接受	7.0	3.0
123.0	loss	08-12-2021	15:51:57	-3.0	-7.0	7月3日	接受	9.0	3.0
123.0	loss	08-12-2021	15:51:57	-5.0	-5.0	fair	接受	1604.0	3.0
123.0	loss	08-12-2021	15:51:57	-2.0	-8.0	unfair	接受	9735.0	3.0
123.0	loss	08-12-2021	15:51:57	-1.0	-9.0	unfair	接受	405.0	5.0
123.0	loss	08-12-2021	15:51:57	-4.0	-6.0	fair	接受	1386.0	3.0
123.0	loss	08-12-2021	15:51:57						
123.0	loss	08-12-2021	15:51:57						
123.0	loss	08-12-2021	15:51:57	-5.0	-5.0	fair	拒绝	35595.0	3.0
123.0	loss	08-12-2021	15:51:57	-3.0	-7.0	7月3日	拒绝	281.0	4.0
123.0	loss	08-12-2021	15:51:57	-4.0	-6.0	fair	接受	399.0	3.0
123.0	loss	08-12-2021	15:51:57	-1.0	-9.0	unfair	拒绝	771.0	3.0
123.0	loss	08-12-2021	15:51:57	-2.0	-8.0	unfair	接受	1690.0	3.0
123.0	loss	08-12-2021	15:51:57	-1.0	-9.0	unfair	接受	1752.0	3.0
123.0	loss	08-12-2021	15:51:57	-4.0	-6.0	fair	接受	413.0	3.0
123.0	loss	08-12-2021	15:51:57	-3.0	-7.0	7月3日	接受	1755.0	3.0
123.0	loss	08-12-2021	15:51:57	-5.0	-5.0	fair	接受	168.0	4.0
123.0	loss	08-12-2021	15:51:57	-2.0	-8.0	unfair	接受	185.0	3.0
