Subject	SessionDate	SessionTime	Block	choose	outcome	partnerlabel	slideInvestment.RT	targettext
123	08-12-2021	15:25:41	1					
123	08-12-2021	15:25:41	2	独占	DC	人	12700.0	3.0
123	08-12-2021	15:25:41	3	独占	DC	人	12773.0	5.0
123	08-12-2021	15:25:41	4	独占	DD	人	3610.0	5.0
123	08-12-2021	15:25:41	5	分享	CC	人	775.0	5.0
123	08-12-2021	15:25:41	6	独占	DC	人	1062.0	5.0
123	08-12-2021	15:25:41	7	分享	CC	人	559.0	5.0
123	08-12-2021	15:25:41	8	分享	CD	人	667.0	4.0
123	08-12-2021	15:25:41	9	独占	DD	人	2250.0	5.0
123	08-12-2021	15:25:41	10	分享	CD	人	1293.0	5.0
123	08-12-2021	15:25:41	11	独占	DC	人	1715.0	5.0
123	08-12-2021	15:25:41	12					
123	08-12-2021	15:25:41	13					
123	08-12-2021	15:25:41	14	独占	DC	电脑	2153.0	5.0
123	08-12-2021	15:25:41	15	独占	DC	电脑	454.0	5.0
123	08-12-2021	15:25:41	16	独占	DC	电脑	249.0	5.0
123	08-12-2021	15:25:41	17	独占	DD	电脑	15325.0	5.0
123	08-12-2021	15:25:41	18	独占	DC	电脑	471.0	5.0
123	08-12-2021	15:25:41	19	独占	DD	电脑	394.0	5.0
123	08-12-2021	15:25:41	20	分享	CD	电脑	467.0	5.0
123	08-12-2021	15:25:41	21	独占	DD	电脑	2140.0	5.0
123	08-12-2021	15:25:41	22	独占	DD	电脑	1463.0	5.0
123	08-12-2021	15:25:41	23	独占	DC	电脑	356.0	3.0
123	08-12-2021	15:25:41	24					
123	08-12-2021	15:25:41	25					
123	08-12-2021	15:25:41	26	独占	DD	人	7638.0	5.0
123	08-12-2021	15:25:41	27	独占	DC	人	650.0	3.0
123	08-12-2021	15:25:41	28	独占	DD	人	5279.0	5.0
123	08-12-2021	15:25:41	29	独占	DC	人	4294.0	1.0
123	08-12-2021	15:25:41	30	独占	DD	人	8377.0	3.0
123	08-12-2021	15:25:41	31	独占	DC	人	3124.0	5.0
123	08-12-2021	15:25:41	32	独占	DD	人	1756.0	3.0
123	08-12-2021	15:25:41	33	独占	DD	人	876.0	5.0
123	08-12-2021	15:25:41	34	独占	DD	人	3693.0	5.0
123	08-12-2021	15:25:41	35	独占	DC	人	454.0	5.0
123	08-12-2021	15:25:41	36					
123	08-12-2021	15:25:41	37					
123	08-12-2021	15:25:41	38	独占	DC	电脑	1771.0	4.0
123	08-12-2021	15:25:41	39	独占	DD	电脑	479.0	5.0
123	08-12-2021	15:25:41	40	独占	DC	电脑	599.0	5.0
123	08-12-2021	15:25:41	41	独占	DD	电脑	551.0	5.0
123	08-12-2021	15:25:41	42	独占	DC	电脑	7524.0	5.0
123	08-12-2021	15:25:41	43	独占	DD	电脑	10614.0	5.0
123	08-12-2021	15:25:41	44	独占	DD	电脑	219.0	5.0
123	08-12-2021	15:25:41	45	独占	DC	电脑	559.0	4.0
123	08-12-2021	15:25:41	46	独占	DD	电脑	1047.0	5.0
123	08-12-2021	15:25:41	47	独占	DC	电脑	1046.0	5.0
