Subject	SessionDate	SessionTime	Block	choose	outcome	partnerlabel	slideInvestment.RT	targettext
165	08-14-2021	13:44:28	1					
165	08-14-2021	13:44:28	2	分享	CC	人	3823.0	4.0
165	08-14-2021	13:44:28	3	分享	CD	人	3118.0	2.0
165	08-14-2021	13:44:28	4	独占	DC	人	2366.0	5.0
165	08-14-2021	13:44:28	5	独占	DC	人	2756.0	4.0
165	08-14-2021	13:44:28	6	分享	CC	人	1647.0	4.0
165	08-14-2021	13:44:28	7	分享	CD	人	3028.0	2.0
165	08-14-2021	13:44:28	8	独占	DC	人	3823.0	4.0
165	08-14-2021	13:44:28	9	分享	CD	人	4045.0	2.0
165	08-14-2021	13:44:28	10	分享	CC	人	3191.0	4.0
165	08-14-2021	13:44:28	11	独占	DC	人	3408.0	4.0
165	08-14-2021	13:44:28	12					
165	08-14-2021	13:44:28	13					
165	08-14-2021	13:44:28	14	分享	CC	电脑	1743.0	4.0
165	08-14-2021	13:44:28	15	独占	DC	电脑	1704.0	5.0
165	08-14-2021	13:44:28	16	分享	CC	电脑	2321.0	3.0
165	08-14-2021	13:44:28	17	独占	DC	电脑	3312.0	5.0
165	08-14-2021	13:44:28	18	分享	CD	电脑	1852.0	2.0
165	08-14-2021	13:44:28	19	独占	DD	电脑	1464.0	3.0
165	08-14-2021	13:44:28	20	独占	DD	电脑	4083.0	4.0
165	08-14-2021	13:44:28	21	分享	CD	电脑	1180.0	1.0
165	08-14-2021	13:44:28	22	独占	DC	电脑	2162.0	5.0
165	08-14-2021	13:44:28	23	分享	CD	电脑	3364.0	2.0
165	08-14-2021	13:44:28	24					
165	08-14-2021	13:44:28	25					
165	08-14-2021	13:44:28	26	分享	CD	人	2627.0	2.0
165	08-14-2021	13:44:28	27	独占	DD	人	2480.0	3.0
165	08-14-2021	13:44:28	28	独占	DC	人	2188.0	5.0
165	08-14-2021	13:44:28	29	分享	CC	人	6994.0	4.0
165	08-14-2021	13:44:28	30	独占	DD	人	3757.0	3.0
165	08-14-2021	13:44:28	31	分享	CD	人	3260.0	1.0
165	08-14-2021	13:44:28	32	独占	DC	人	3816.0	4.0
165	08-14-2021	13:44:28	33	分享	CD	人	3133.0	2.0
165	08-14-2021	13:44:28	34	独占	DD	人	3646.0	4.0
165	08-14-2021	13:44:28	35	独占	DD	人	3547.0	4.0
165	08-14-2021	13:44:28	36					
165	08-14-2021	13:44:28	37					
165	08-14-2021	13:44:28	38	分享	CD	电脑	2301.0	1.0
165	08-14-2021	13:44:28	39	独占	DC	电脑	2713.0	4.0
165	08-14-2021	13:44:28	40	独占	DD	电脑	2028.0	3.0
165	08-14-2021	13:44:28	41	分享	CD	电脑	5183.0	1.0
165	08-14-2021	13:44:28	42	独占	DC	电脑	1232.0	5.0
165	08-14-2021	13:44:28	43	独占	DC	电脑	2747.0	5.0
165	08-14-2021	13:44:28	44	分享	CD	电脑	4701.0	1.0
165	08-14-2021	13:44:28	45	独占	DC	电脑	812.0	4.0
165	08-14-2021	13:44:28	46	独占	DD	电脑	5053.0	3.0
165	08-14-2021	13:44:28	47	分享	CC	电脑	3913.0	4.0
