Subject	SessionDate	SessionTime	Block	choose	outcome	partnerlabel	slideInvestment.RT	targettext
143	09-30-2019	15:38:43	1					
143	09-30-2019	15:38:43	2	独占	DD	人	11805.0	2.0
143	09-30-2019	15:38:43	3	分享	CC	人	6160.0	4.0
143	09-30-2019	15:38:43	4	独占	DC	人	7734.0	5.0
143	09-30-2019	15:38:43	5	独占	DC	人	7158.0	5.0
143	09-30-2019	15:38:43	6	独占	DD	人	5118.0	2.0
143	09-30-2019	15:38:43	7	独占	DD	人	3613.0	2.0
143	09-30-2019	15:38:43	8	独占	DD	人	2009.0	2.0
143	09-30-2019	15:38:43	9	分享	CC	人	1787.0	4.0
143	09-30-2019	15:38:43	10	独占	DC	人	1925.0	5.0
143	09-30-2019	15:38:43	11	独占	DC	人	2856.0	5.0
143	09-30-2019	15:38:43	12					
143	09-30-2019	15:38:43	13					
143	09-30-2019	15:38:43	14	独占	DD	电脑	3051.0	2.0
143	09-30-2019	15:38:43	15	独占	DD	电脑	1687.0	2.0
143	09-30-2019	15:38:43	16	分享	CD	电脑	931.0	1.0
143	09-30-2019	15:38:43	17	分享	CD	电脑	1244.0	1.0
143	09-30-2019	15:38:43	18	独占	DC	电脑	2612.0	5.0
143	09-30-2019	15:38:43	19	独占	DC	电脑	2111.0	5.0
143	09-30-2019	15:38:43	20	独占	DC	电脑	2100.0	5.0
143	09-30-2019	15:38:43	21	独占	DD	电脑	829.0	2.0
143	09-30-2019	15:38:43	22	独占	DC	电脑	1710.0	5.0
143	09-30-2019	15:38:43	23	独占	DC	电脑	1783.0	5.0
143	09-30-2019	15:38:43	24					
143	09-30-2019	15:38:43	25					
143	09-30-2019	15:38:43	26	分享	CD	人	5671.0	1.0
143	09-30-2019	15:38:43	27	独占	DD	人	5651.0	2.0
143	09-30-2019	15:38:43	28	独占	DC	人	2558.0	5.0
143	09-30-2019	15:38:43	29	分享	CD	人	1029.0	1.0
143	09-30-2019	15:38:43	30	独占	DC	人	3032.0	5.0
143	09-30-2019	15:38:43	31	独占	DD	人	3382.0	2.0
143	09-30-2019	15:38:43	32	独占	DD	人	5960.0	2.0
143	09-30-2019	15:38:43	33	独占	DD	人	458.0	2.0
143	09-30-2019	15:38:43	34	独占	DC	人	4604.0	5.0
143	09-30-2019	15:38:43	35	独占	DC	人	1928.0	5.0
143	09-30-2019	15:38:43	36					
143	09-30-2019	15:38:43	37					
143	09-30-2019	15:38:43	38	独占	DD	电脑	1877.0	2.0
143	09-30-2019	15:38:43	39	独占	DC	电脑	5738.0	5.0
143	09-30-2019	15:38:43	40	独占	DD	电脑	1233.0	5.0
143	09-30-2019	15:38:43	41	独占	DC	电脑	3374.0	5.0
143	09-30-2019	15:38:43	42	独占	DD	电脑	5263.0	5.0
143	09-30-2019	15:38:43	43	分享	CC	电脑	1237.0	4.0
143	09-30-2019	15:38:43	44	独占	DD	电脑	6056.0	2.0
143	09-30-2019	15:38:43	45	独占	DC	电脑	3088.0	5.0
143	09-30-2019	15:38:43	46	独占	DD	电脑	1492.0	2.0
143	09-30-2019	15:38:43	47	分享	CC	电脑	2461.0	4.0
