Subject	SessionDate	SessionTime	Block	choose	outcome	partnerlabel	slideInvestment.RT	targettext
102	08-09-2019	10:05:42	1					
102	08-09-2019	10:05:42	2	独占	DD	人	11539.0	3.0
102	08-09-2019	10:05:42	3	分享	CC	人	3260.0	2.0
102	08-09-2019	10:05:42	4	独占	DD	人	8420.0	3.0
102	08-09-2019	10:05:42	5	分享	CC	人	675.0	1.0
102	08-09-2019	10:05:42	6	独占	DC	人	1009.0	3.0
102	08-09-2019	10:05:42	7	分享	CD	人	802.0	3.0
102	08-09-2019	10:05:42	8	分享	CD	人	1460.0	3.0
102	08-09-2019	10:05:42	9	独占	DD	人	3488.0	3.0
102	08-09-2019	10:05:42	10	分享	CC	人	8066.0	3.0
102	08-09-2019	10:05:42	11	分享	CD	人	8316.0	5.0
102	08-09-2019	10:05:42	12					
102	08-09-2019	10:05:42	13					
102	08-09-2019	10:05:42	14	分享	CC	电脑	1355.0	3.0
102	08-09-2019	10:05:42	15	独占	DC	电脑	9371.0	3.0
102	08-09-2019	10:05:42	16	分享	CD	电脑	1143.0	3.0
102	08-09-2019	10:05:42	17	独占	DC	电脑	11325.0	3.0
102	08-09-2019	10:05:42	18	独占	DD	电脑	466.0	3.0
102	08-09-2019	10:05:42	19	分享	CD	电脑	630.0	3.0
102	08-09-2019	10:05:42	20	分享	CC	电脑	347.0	3.0
102	08-09-2019	10:05:42	21	独占	DC	电脑	445.0	3.0
102	08-09-2019	10:05:42	22	分享	CC	电脑	1453.0	2.0
102	08-09-2019	10:05:42	23	分享	CD	电脑	1950.0	3.0
102	08-09-2019	10:05:42	24					
102	08-09-2019	10:05:42	25					
102	08-09-2019	10:05:42	26	分享	CC	人	5632.0	3.0
102	08-09-2019	10:05:42	27	独占	DC	人	1672.0	3.0
102	08-09-2019	10:05:42	28	分享	CD	人	1161.0	3.0
102	08-09-2019	10:05:42	29	独占	DD	人	1579.0	3.0
102	08-09-2019	10:05:42	30	独占	DC	人	730.0	4.0
102	08-09-2019	10:05:42	31	分享	CC	人	459.0	3.0
102	08-09-2019	10:05:42	32	分享	CD	人	382.0	3.0
102	08-09-2019	10:05:42	33	独占	DC	人	373.0	3.0
102	08-09-2019	10:05:42	34	分享	CD	人	685.0	3.0
102	08-09-2019	10:05:42	35	独占	DC	人	9626.0	4.0
102	08-09-2019	10:05:42	36					
102	08-09-2019	10:05:42	37					
102	08-09-2019	10:05:42	38	分享	CD	电脑	1260.0	4.0
102	08-09-2019	10:05:42	39	独占	DD	电脑	4176.0	3.0
102	08-09-2019	10:05:42	40	分享	CC	电脑	1999.0	5.0
102	08-09-2019	10:05:42	41	独占	DC	电脑	3744.0	5.0
102	08-09-2019	10:05:42	42	独占	DD	电脑	2288.0	3.0
102	08-09-2019	10:05:42	43	分享	CC	电脑	502.0	3.0
102	08-09-2019	10:05:42	44	分享	CC	电脑	1354.0	3.0
102	08-09-2019	10:05:42	45	分享	CD	电脑	339.0	4.0
102	08-09-2019	10:05:42	46	独占	DD	电脑	5561.0	3.0
102	08-09-2019	10:05:42	47	独占	DD	电脑	2358.0	5.0
