ExperimentName,Subject,Session,Clock.Information,DataFile.Basename,Display.RefreshRate,ExperimentVersion,Group,R1Color[Session],R2Color[Session],R3Color[Session],R4Color[Session],R5Color[Session],R6Color[Session],R7Color[Session],R8Color[Session],R9Color[Session],RandomSeed,RuntimeVersion,SessionDate,SessionStartDateTimeUtc,SessionTime,StudioVersion,Block,DAL,DIA,DIC,DJG,IA_Index,ListQues,ListSess,ListSess.Cycle,ListSess.Sample,other1,other2,other3,other4,other5,other6,other7,other8,other9,otherScore,Procedure,R0Color,R1Color[Block],R2Color[Block],R3Color[Block],R4Color[Block],R5Color[Block],R6Color[Block],R7Color[Block],R8Color[Block],R9Color[Block],RespDur,Running,SlideTarget.ACC,SlideTarget.CRESP,SlideTarget.DurationError,SlideTarget.OnsetDelay,SlideTarget.OnsetTime,SlideTarget.RESP,SlideTarget.RT,SlideTarget.RTTime,SVO_angle,SVO_type,Trialnum,version,you1,you2,you3,you4,you5,you6,you7,you8,you9,yourScore
SVO,23,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2020-01-06T11:38:04Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3507548</Frequency><Timestamp dt:dt=""r8"">891756245410</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2020-01-06T11:38:04Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SVO-023-1,60.023,1.0.0.13,1,black,black,black,black,black,black,black,black,black,-1596251312,2.0.10.182,01-06-2020,2020/1/6 11:38,19:38:04,2.0.10.92,11,,,,,,11,1,2,11,100,96,93,89,85,81,78,74,70,,ProcTrial,,black,black,black,black,cyan,black,black,black,black,-4144,ListSess,0,,-999999,66,172613,5,7644,180257,,,11,2,70,74,78,81,85,89,93,96,100,
SVO,23,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2020-01-06T11:38:04Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3507548</Frequency><Timestamp dt:dt=""r8"">891756245410</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2020-01-06T11:38:04Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SVO-023-1,60.023,1.0.0.13,1,black,black,black,black,black,black,black,black,black,-1596251312,2.0.10.182,01-06-2020,2020/1/6 11:38,19:38:04,2.0.10.92,12,,,,,,12,1,2,12,100,99,98,96,95,94,93,91,90,,ProcTrial,,black,black,black,black,black,black,black,black,cyan,-13999,ListSess,0,,-999999,67,181110,9,17499,198609,,,12,2,50,56,63,69,75,81,88,94,100,
SVO,23,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2020-01-06T11:38:04Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3507548</Frequency><Timestamp dt:dt=""r8"">891756245410</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2020-01-06T11:38:04Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SVO-023-1,60.023,1.0.0.13,1,black,black,black,black,black,black,black,black,black,-1596251312,2.0.10.182,01-06-2020,2020/1/6 11:38,19:38:04,2.0.10.92,13,,,,,,13,1,2,13,100,94,88,81,75,69,63,56,50,,ProcTrial,,black,black,black,black,black,black,cyan,black,black,-13670,ListSess,0,,-999999,67,199903,7,17170,217073,,,13,2,50,56,63,69,75,81,88,94,100,
SVO,23,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2020-01-06T11:38:04Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3507548</Frequency><Timestamp dt:dt=""r8"">891756245410</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2020-01-06T11:38:04Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SVO-023-1,60.023,1.0.0.13,1,black,black,black,black,black,black,black,black,black,-1596251312,2.0.10.182,01-06-2020,2020/1/6 11:38,19:38:04,2.0.10.92,14,,,,,,14,1,2,14,90,91,93,94,95,96,98,99,100,,ProcTrial,,cyan,black,black,black,black,black,black,black,black,180,ListSess,0,,-999999,67,218129,1,3320,221449,,,14,2,100,96,93,89,85,81,78,74,70,
SVO,23,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2020-01-06T11:38:04Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3507548</Frequency><Timestamp dt:dt=""r8"">891756245410</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2020-01-06T11:38:04Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SVO-023-1,60.023,1.0.0.13,1,black,black,black,black,black,black,black,black,black,-1596251312,2.0.10.182,01-06-2020,2020/1/6 11:38,19:38:04,2.0.10.92,15,0.5277778,0.1666667,0.4722222,4.17E-02,0.8,15,1,2,15,100,94,88,81,75,69,63,56,50,74.5,ProcTrial,,cyan,black,black,black,black,black,black,black,black,-372,ListSess,0,,-999999,67,222561,1,3872,226433,0.7277228,2,15,2,90,91,93,94,95,96,98,99,100,83.66666
SVO,4,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2020-01-04T07:52:56Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3507548</Frequency><Timestamp dt:dt=""r8"">238357987261</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2020-01-04T07:52:56Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SVO-04-1,60.023,1.0.0.4,1,black,black,black,black,black,black,black,black,black,2135497871,2.0.10.182,01-04-2020,2020/1/4 7:52,15:52:56,2.0.10.92,1,,,,,,1,1,2,1,85,76,68,59,50,41,33,24,15,,ProcTrial,,cyan,black,black,black,black,black,black,black,black,-7703,ListSess,0,,-999999,100,34179,1,11203,45382,,,1,1,85,85,85,85,85,85,85,85,85,
SVO,4,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2020-01-04T07:52:56Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3507548</Frequency><Timestamp dt:dt=""r8"">238357987261</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2020-01-04T07:52:56Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SVO-04-1,60.023,1.0.0.4,1,black,black,black,black,black,black,black,black,black,2135497871,2.0.10.182,01-04-2020,2020/1/4 7:52,15:52:56,2.0.10.92,2,,,,,,2,1,2,2,15,19,24,28,33,37,41,46,50,,ProcTrial,,black,black,black,black,black,black,black,black,cyan,-2899,ListSess,0,,-999999,67,49990,9,6399,56389,,,2,1,85,87,89,91,93,94,96,98,100,
SVO,4,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2020-01-04T07:52:56Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3507548</Frequency><Timestamp dt:dt=""r8"">238357987261</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2020-01-04T07:52:56Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SVO-04-1,60.023,1.0.0.4,1,black,black,black,black,black,black,black,black,black,2135497871,2.0.10.182,01-04-2020,2020/1/4 7:52,15:52:56,2.0.10.92,3,,,,,,3,1,2,3,100,98,96,94,93,91,89,87,85,,ProcTrial,,black,black,black,black,black,black,black,black,cyan,-6235,ListSess,0,,-999999,66,61285,9,9735,71020,,,3,1,50,54,59,63,68,72,76,81,85,
SVO,4,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2020-01-04T07:52:56Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3507548</Frequency><Timestamp dt:dt=""r8"">238357987261</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2020-01-04T07:52:56Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SVO-04-1,60.023,1.0.0.4,1,black,black,black,black,black,black,black,black,black,2135497871,2.0.10.182,01-04-2020,2020/1/4 7:52,15:52:56,2.0.10.92,4,,,,,,4,1,2,4,100,89,79,68,58,47,36,26,15,,ProcTrial,,black,black,black,cyan,black,black,black,black,black,-12937,ListSess,0,,-999999,67,72831,4,16437,89268,,,4,1,50,54,59,63,68,72,76,81,85,
SVO,4,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2020-01-04T07:52:56Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3507548</Frequency><Timestamp dt:dt=""r8"">238357987261</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2020-01-04T07:52:56Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SVO-04-1,60.023,1.0.0.4,1,black,black,black,black,black,black,black,black,black,2135497871,2.0.10.182,01-04-2020,2020/1/4 7:52,15:52:56,2.0.10.92,5,,,,,,5,1,2,5,50,56,63,69,75,81,88,94,100,,ProcTrial,,black,black,black,black,cyan,black,black,black,black,-2655,ListSess,0,,-999999,66,91257,5,6155,97412,,,5,1,100,94,88,81,75,69,63,56,50,
