subjID,SessionDate,accept,offer,Wait2.RT,targettext,gender,age,trail,context,cohort
A2,01-04-2020,1,3.0,869.0,3.0,F,23.82739726,39,gain,adult
A2,01-04-2020,0,2.0,977.0,2.0,F,23.82739726,40,gain,adult
A3,01-04-2020,1,4.0,10729.0,3.0,M,23.64657534,1,gain,adult
A3,01-04-2020,1,5.0,1009.0,3.0,M,23.64657534,2,gain,adult
A3,01-04-2020,0,3.0,1970.0,2.0,M,23.64657534,3,gain,adult
A3,01-04-2020,0,2.0,902.0,2.0,M,23.64657534,4,gain,adult
A3,01-04-2020,0,1.0,784.0,2.0,M,23.64657534,5,gain,adult
A3,01-04-2020,1,3.0,4258.0,2.0,M,23.64657534,6,gain,adult
A3,01-04-2020,0,1.0,1550.0,1.0,M,23.64657534,7,gain,adult
A3,01-04-2020,0,2.0,2713.0,2.0,M,23.64657534,8,gain,adult
A3,01-04-2020,1,5.0,1192.0,4.0,M,23.64657534,9,gain,adult
A3,01-04-2020,1,4.0,765.0,3.0,M,23.64657534,10,gain,adult
A3,01-04-2020,1,3.0,3991.0,2.0,M,23.64657534,11,gain,adult
A3,01-04-2020,0,2.0,2494.0,2.0,M,23.64657534,12,gain,adult
A3,01-04-2020,0,1.0,811.0,1.0,M,23.64657534,13,gain,adult
A3,01-04-2020,1,4.0,2244.0,3.0,M,23.64657534,14,gain,adult
A3,01-04-2020,1,5.0,762.0,3.0,M,23.64657534,15,gain,adult
A3,01-04-2020,0,3.0,3266.0,2.0,M,23.64657534,16,gain,adult
A3,01-04-2020,1,5.0,1104.0,3.0,M,23.64657534,17,gain,adult
A3,01-04-2020,0,1.0,662.0,1.0,M,23.64657534,18,gain,adult
A3,01-04-2020,0,2.0,4294.0,2.0,M,23.64657534,19,gain,adult
A3,01-04-2020,1,4.0,3186.0,3.0,M,23.64657534,20,gain,adult
A3,01-04-2020,0,3.0,8342.0,2.0,M,23.64657534,21,gain,adult
A3,01-04-2020,1,5.0,570.0,3.0,M,23.64657534,22,gain,adult
A3,01-04-2020,0,1.0,709.0,1.0,M,23.64657534,23,gain,adult
A3,01-04-2020,0,2.0,11057.0,2.0,M,23.64657534,24,gain,adult
A3,01-04-2020,1,4.0,767.0,3.0,M,23.64657534,25,gain,adult
A3,01-04-2020,0,3.0,3060.0,2.0,M,23.64657534,26,gain,adult
A3,01-04-2020,1,5.0,734.0,3.0,M,23.64657534,27,gain,adult
A3,01-04-2020,0,2.0,503.0,3.0,M,23.64657534,28,gain,adult
A3,01-04-2020,0,1.0,588.0,1.0,M,23.64657534,29,gain,adult
A3,01-04-2020,1,4.0,1574.0,3.0,M,23.64657534,30,gain,adult
A3,01-04-2020,0,3.0,1005.0,2.0,M,23.64657534,31,gain,adult
A3,01-04-2020,1,5.0,437.0,3.0,M,23.64657534,32,gain,adult
A3,01-04-2020,0,1.0,510.0,1.0,M,23.64657534,33,gain,adult
A3,01-04-2020,0,2.0,3021.0,2.0,M,23.64657534,34,gain,adult
A3,01-04-2020,1,4.0,779.0,3.0,M,23.64657534,35,gain,adult
A3,01-04-2020,1,4.0,484.0,3.0,M,23.64657534,36,gain,adult
A3,01-04-2020,0,1.0,502.0,1.0,M,23.64657534,37,gain,adult
A3,01-04-2020,0,2.0,641.0,2.0,M,23.64657534,38,gain,adult
A3,01-04-2020,0,3.0,2214.0,2.0,M,23.64657534,39,gain,adult
A3,01-04-2020,1,5.0,615.0,4.0,M,23.64657534,40,gain,adult
A4,01-05-2020,0,2.0,6391.0,3.0,F,24.11780822,1,gain,adult
A4,01-05-2020,1,3.0,5837.0,2.0,F,24.11780822,2,gain,adult
A4,01-05-2020,1,4.0,2683.0,3.0,F,24.11780822,3,gain,adult
A4,01-05-2020,0,1.0,1010.0,3.0,F,24.11780822,4,gain,adult
A4,01-05-2020,1,5.0,902.0,3.0,F,24.11780822,5,gain,adult
A4,01-05-2020,1,5.0,694.0,3.0,F,24.11780822,6,gain,adult
A4,01-05-2020,1,4.0,943.0,2.0,F,24.11780822,7,gain,adult
A4,01-05-2020,0,3.0,829.0,3.0,F,24.11780822,8,gain,adult
A4,01-05-2020,0,2.0,761.0,3.0,F,24.11780822,9,gain,adult
A4,01-05-2020,0,1.0,1182.0,3.0,F,24.11780822,10,gain,adult
A4,01-05-2020,0,1.0,1097.0,3.0,F,24.11780822,11,gain,adult
A4,01-05-2020,1,3.0,629.0,3.0,F,24.11780822,12,gain,adult
A4,01-05-2020,0,2.0,919.0,3.0,F,24.11780822,13,gain,adult
A4,01-05-2020,1,5.0,550.0,4.0,F,24.11780822,14,gain,adult
A4,01-05-2020,1,4.0,806.0,2.0,F,24.11780822,15,gain,adult
A4,01-05-2020,1,4.0,800.0,2.0,F,24.11780822,16,gain,adult
A4,01-05-2020,0,3.0,522.0,3.0,F,24.11780822,17,gain,adult
A4,01-05-2020,1,5.0,605.0,3.0,F,24.11780822,18,gain,adult
A4,01-05-2020,0,1.0,529.0,3.0,F,24.11780822,19,gain,adult
A4,01-05-2020,0,2.0,1018.0,3.0,F,24.11780822,20,gain,adult
A4,01-05-2020,1,3.0,919.0,1.0,F,24.11780822,21,gain,adult
A4,01-05-2020,1,4.0,396.0,2.0,F,24.11780822,22,gain,adult
A4,01-05-2020,1,5.0,472.0,3.0,F,24.11780822,23,gain,adult
A4,01-05-2020,0,2.0,1003.0,3.0,F,24.11780822,24,gain,adult
A4,01-05-2020,0,1.0,494.0,3.0,F,24.11780822,25,gain,adult
A4,01-05-2020,1,5.0,348.0,3.0,F,24.11780822,26,gain,adult
A4,01-05-2020,0,1.0,446.0,3.0,F,24.11780822,27,gain,adult
A4,01-05-2020,0,2.0,739.0,3.0,F,24.11780822,28,gain,adult
A4,01-05-2020,1,4.0,377.0,2.0,F,24.11780822,29,gain,adult
A4,01-05-2020,1,3.0,552.0,3.0,F,24.11780822,30,gain,adult
A4,01-05-2020,1,5.0,276.0,3.0,F,24.11780822,31,gain,adult
A4,01-05-2020,1,4.0,390.0,2.0,F,24.11780822,32,gain,adult
A4,01-05-2020,1,3.0,588.0,3.0,F,24.11780822,33,gain,adult
A4,01-05-2020,0,1.0,466.0,3.0,F,24.11780822,34,gain,adult
A4,01-05-2020,1,2.0,1947.0,1.0,F,24.11780822,35,gain,adult
A4,01-05-2020,1,3.0,380.0,2.0,F,24.11780822,36,gain,adult
A4,01-05-2020,0,2.0,386.0,3.0,F,24.11780822,37,gain,adult
A4,01-05-2020,0,1.0,587.0,3.0,F,24.11780822,38,gain,adult
A4,01-05-2020,1,4.0,477.0,2.0,F,24.11780822,39,gain,adult
A4,01-05-2020,1,5.0,2606.0,4.0,F,24.11780822,40,gain,adult
A5,01-06-2020,0,1.0,4666.0,2.0,F,26.28767123,1,gain,adult
A5,01-06-2020,1,5.0,1237.0,5.0,F,26.28767123,2,gain,adult
A5,01-06-2020,0,2.0,1399.0,2.0,F,26.28767123,3,gain,adult
A5,01-06-2020,1,4.0,1370.0,4.0,F,26.28767123,4,gain,adult
A5,01-06-2020,0,3.0,4714.0,2.0,F,26.28767123,5,gain,adult
A5,01-06-2020,1,4.0,2200.0,4.0,F,26.28767123,6,gain,adult
A5,01-06-2020,0,2.0,3043.0,2.0,F,26.28767123,7,gain,adult
A5,01-06-2020,0,3.0,988.0,2.0,F,26.28767123,8,gain,adult
A5,01-06-2020,0,1.0,1455.0,1.0,F,26.28767123,9,gain,adult
A5,01-06-2020,1,5.0,705.0,5.0,F,26.28767123,10,gain,adult
A5,01-06-2020,0,3.0,7152.0,2.0,F,26.28767123,11,gain,adult
A5,01-06-2020,0,1.0,1130.0,1.0,F,26.28767123,12,gain,adult
A5,01-06-2020,1,5.0,1112.0,5.0,F,26.28767123,13,gain,adult
A5,01-06-2020,0,2.0,1729.0,2.0,F,26.28767123,14,gain,adult
A5,01-06-2020,1,4.0,1090.0,4.0,F,26.28767123,15,gain,adult
A5,01-06-2020,0,1.0,584.0,1.0,F,26.28767123,16,gain,adult
A5,01-06-2020,1,4.0,997.0,4.0,F,26.28767123,17,gain,adult
A5,01-06-2020,0,3.0,1648.0,2.0,F,26.28767123,18,gain,adult
A5,01-06-2020,1,5.0,527.0,5.0,F,26.28767123,19,gain,adult
A5,01-06-2020,0,2.0,618.0,2.0,F,26.28767123,20,gain,adult
A5,01-06-2020,1,5.0,756.0,5.0,F,26.28767123,21,gain,adult
A5,01-06-2020,0,3.0,1153.0,2.0,F,26.28767123,22,gain,adult
A5,01-06-2020,0,1.0,442.0,1.0,F,26.28767123,23,gain,adult
A5,01-06-2020,0,2.0,989.0,2.0,F,26.28767123,24,gain,adult
A5,01-06-2020,1,4.0,589.0,4.0,F,26.28767123,25,gain,adult
A5,01-06-2020,0,3.0,615.0,2.0,F,26.28767123,26,gain,adult
A5,01-06-2020,1,4.0,538.0,4.0,F,26.28767123,27,gain,adult
A5,01-06-2020,0,1.0,876.0,1.0,F,26.28767123,28,gain,adult
A5,01-06-2020,1,5.0,391.0,5.0,F,26.28767123,29,gain,adult
A5,01-06-2020,0,2.0,357.0,2.0,F,26.28767123,30,gain,adult
A5,01-06-2020,0,2.0,1488.0,2.0,F,26.28767123,31,gain,adult
A5,01-06-2020,1,4.0,426.0,4.0,F,26.28767123,32,gain,adult
A5,01-06-2020,0,1.0,480.0,1.0,F,26.28767123,33,gain,adult
A5,01-06-2020,1,5.0,233.0,5.0,F,26.28767123,34,gain,adult
A5,01-06-2020,0,3.0,1019.0,2.0,F,26.28767123,35,gain,adult
A5,01-06-2020,0,1.0,387.0,1.0,F,26.28767123,36,gain,adult
A5,01-06-2020,1,5.0,449.0,5.0,F,26.28767123,37,gain,adult
A5,01-06-2020,0,3.0,535.0,2.0,F,26.28767123,38,gain,adult
A5,01-06-2020,0,2.0,304.0,2.0,F,26.28767123,39,gain,adult
A5,01-06-2020,1,4.0,621.0,4.0,F,26.28767123,40,gain,adult
A6,01-06-2020,1,5.0,2485.0,5.0,M,25.81643836,1,gain,adult
A6,01-06-2020,1,2.0,3198.0,4.0,M,25.81643836,2,gain,adult
A6,01-06-2020,0,3.0,7532.0,2.0,M,25.81643836,3,gain,adult
