Subject	SessionDate	SessionTime	Block	choose	outcome	partnerlabel	slideInvestment.RT	targettext
127	08-24-2019	16:05:20	1					
127	08-24-2019	16:05:20	2	独占	DC	人	629.0	5.0
127	08-24-2019	16:05:20	3	分享	CC	人	1232.0	5.0
127	08-24-2019	16:05:20	4	独占	DD	人	396.0	3.0
127	08-24-2019	16:05:20	5	独占	DC	人	447.0	5.0
127	08-24-2019	16:05:20	6	独占	DD	人	557.0	3.0
127	08-24-2019	16:05:20	7	独占	DD	人	336.0	2.0
127	08-24-2019	16:05:20	8	独占	DC	人	261.0	4.0
127	08-24-2019	16:05:20	9	分享	CD	人	410.0	3.0
127	08-24-2019	16:05:20	10	独占	DD	人	325.0	3.0
127	08-24-2019	16:05:20	11	独占	DC	人	31.0	3.0
127	08-24-2019	16:05:20	12					
127	08-24-2019	16:05:20	13					
127	08-24-2019	16:05:20	14	独占	DD	电脑	748.0	3.0
127	08-24-2019	16:05:20	15	独占	DC	电脑	245.0	3.0
127	08-24-2019	16:05:20	16	独占	DD	电脑	968.0	3.0
127	08-24-2019	16:05:20	17	分享	CC	电脑	395.0	3.0
127	08-24-2019	16:05:20	18	独占	DC	电脑	325.0	3.0
127	08-24-2019	16:05:20	19	独占	DD	电脑	519.0	4.0
127	08-24-2019	16:05:20	20	分享	CC	电脑	1421.0	4.0
127	08-24-2019	16:05:20	21	独占	DD	电脑	671.0	3.0
127	08-24-2019	16:05:20	22	独占	DC	电脑	251.0	3.0
127	08-24-2019	16:05:20	23	独占	DC	电脑	385.0	3.0
127	08-24-2019	16:05:20	24					
127	08-24-2019	16:05:20	25					
127	08-24-2019	16:05:20	26	独占	DC	人	6669.0	3.0
127	08-24-2019	16:05:20	27	独占	DC	人	368.0	5.0
127	08-24-2019	16:05:20	28	独占	DC	人	488.0	5.0
127	08-24-2019	16:05:20	29	分享	CD	人	1323.0	1.0
127	08-24-2019	16:05:20	30	分享	CC	人	3545.0	4.0
127	08-24-2019	16:05:20	31	独占	DD	人	359.0	3.0
127	08-24-2019	16:05:20	32	独占	DD	人	305.0	1.0
127	08-24-2019	16:05:20	33	独占	DD	人	596.0	4.0
127	08-24-2019	16:05:20	34	分享	CC	人	584.0	3.0
127	08-24-2019	16:05:20	35	分享	CD	人	319.0	3.0
127	08-24-2019	16:05:20	36					
127	08-24-2019	16:05:20	37					
127	08-24-2019	16:05:20	38	分享	CD	电脑	327.0	4.0
127	08-24-2019	16:05:20	39	独占	DD	电脑	1198.0	3.0
127	08-24-2019	16:05:20	40	独占	DC	电脑	544.0	3.0
127	08-24-2019	16:05:20	41	独占	DC	电脑	511.0	2.0
127	08-24-2019	16:05:20	42	独占	DD	电脑	349.0	3.0
127	08-24-2019	16:05:20	43	独占	DC	电脑	367.0	3.0
127	08-24-2019	16:05:20	44	独占	DC	电脑	280.0	3.0
127	08-24-2019	16:05:20	45	分享	CD	电脑	243.0	4.0
127	08-24-2019	16:05:20	46	独占	DD	电脑	340.0	3.0
127	08-24-2019	16:05:20	47	独占	DD	电脑	298.0	3.0
