Subject	SessionDate	SessionTime	Block	choose	outcome	partnerlabel	slideInvestment.RT	targettext
106	04-10-2022	13:59:15	1					
106	04-10-2022	13:59:15	2	分享	CD	人	1098.0	1.0
106	04-10-2022	13:59:15	3	独占	DD	人	1585.0	4.0
106	04-10-2022	13:59:15	4	独占	DC	人	866.0	5.0
106	04-10-2022	13:59:15	5	分享	CC	人	803.0	4.0
106	04-10-2022	13:59:15	6	独占	DC	人	318.0	5.0
106	04-10-2022	13:59:15	7	独占	DD	人	416.0	1.0
106	04-10-2022	13:59:15	8	分享	CC	人	438.0	3.0
106	04-10-2022	13:59:15	9	独占	DC	人	561.0	5.0
106	04-10-2022	13:59:15	10	分享	CC	人	332.0	3.0
106	04-10-2022	13:59:15	11	独占	DC	人	338.0	5.0
106	04-10-2022	13:59:15	12					
106	04-10-2022	13:59:15	13					
106	04-10-2022	13:59:15	14	独占	DC	电脑	367.0	5.0
106	04-10-2022	13:59:15	15	分享	CD	电脑	428.0	1.0
106	04-10-2022	13:59:15	16	独占	DC	电脑	367.0	5.0
106	04-10-2022	13:59:15	17	独占	DC	电脑	357.0	5.0
106	04-10-2022	13:59:15	18	独占	DC	电脑	434.0	5.0
106	04-10-2022	13:59:15	19	独占	DC	电脑	363.0	5.0
106	04-10-2022	13:59:15	20	独占	DD	电脑	326.0	1.0
106	04-10-2022	13:59:15	21	分享	CD	电脑	403.0	5.0
106	04-10-2022	13:59:15	22	独占	DC	电脑	325.0	5.0
106	04-10-2022	13:59:15	23	独占	DC	电脑	292.0	5.0
106	04-10-2022	13:59:15	24					
106	04-10-2022	13:59:15	25					
106	04-10-2022	13:59:15	26	独占	DD	人	322.0	3.0
106	04-10-2022	13:59:15	27	独占	DC	人	962.0	5.0
106	04-10-2022	13:59:15	28	独占	DC	人	533.0	5.0
106	04-10-2022	13:59:15	29	独占	DC	人	684.0	5.0
106	04-10-2022	13:59:15	30	独占	DD	人	283.0	3.0
106	04-10-2022	13:59:15	31	独占	DD	人	382.0	3.0
106	04-10-2022	13:59:15	32	独占	DD	人	1040.0	3.0
106	04-10-2022	13:59:15	33	独占	DD	人	709.0	3.0
106	04-10-2022	13:59:15	34	独占	DD	人	483.0	3.0
106	04-10-2022	13:59:15	35	分享	CD	人	686.0	1.0
106	04-10-2022	13:59:15	36					
106	04-10-2022	13:59:15	37					
106	04-10-2022	13:59:15	38	独占	DD	电脑	241.0	3.0
106	04-10-2022	13:59:15	39	独占	DC	电脑	494.0	5.0
106	04-10-2022	13:59:15	40	独占	DD	电脑	592.0	3.0
106	04-10-2022	13:59:15	41	独占	DD	电脑	399.0	3.0
106	04-10-2022	13:59:15	42	独占	DC	电脑	526.0	5.0
106	04-10-2022	13:59:15	43	独占	DD	电脑	844.0	3.0
106	04-10-2022	13:59:15	44	独占	DD	电脑	679.0	3.0
106	04-10-2022	13:59:15	45	独占	DD	电脑	250.0	3.0
106	04-10-2022	13:59:15	46	独占	DD	电脑	292.0	3.0
106	04-10-2022	13:59:15	47	独占	DC	电脑	403.0	3.0
