Subject	Context	SessionDate	SessionTime	proposer	receivor	type	choose	Wait2.RT	targettext
152.0	gain	07-31-2021	16:05:01						
152.0	gain	07-31-2021	16:05:01	5.0	5.0	fair	接受	4974.0	4.0
152.0	gain	07-31-2021	16:05:01	7.0	3.0	7月3日	拒绝	11632.0	5.0
152.0	gain	07-31-2021	16:05:01	9.0	1.0	unfair	拒绝	4210.0	5.0
152.0	gain	07-31-2021	16:05:01	8.0	2.0	unfair	拒绝	2418.0	5.0
152.0	gain	07-31-2021	16:05:01	6.0	4.0	fair	接受	3079.0	3.0
152.0	gain	07-31-2021	16:05:01	7.0	3.0	7月3日	拒绝	3209.0	5.0
152.0	gain	07-31-2021	16:05:01	8.0	2.0	unfair	拒绝	3587.0	5.0
152.0	gain	07-31-2021	16:05:01	6.0	4.0	fair	接受	4833.0	4.0
152.0	gain	07-31-2021	16:05:01	9.0	1.0	unfair	拒绝	5752.0	5.0
152.0	gain	07-31-2021	16:05:01	5.0	5.0	fair	接受	1928.0	5.0
152.0	gain	07-31-2021	16:05:01						
152.0	gain	07-31-2021	16:05:01						
152.0	gain	07-31-2021	16:05:01	5.0	5.0	fair	接受	2646.0	5.0
152.0	gain	07-31-2021	16:05:01	6.0	4.0	fair	拒绝	1200.0	5.0
152.0	gain	07-31-2021	16:05:01	9.0	1.0	unfair	拒绝	1943.0	3.0
152.0	gain	07-31-2021	16:05:01	8.0	2.0	unfair	拒绝	2293.0	5.0
152.0	gain	07-31-2021	16:05:01	7.0	3.0	7月3日	拒绝	1545.0	5.0
152.0	gain	07-31-2021	16:05:01	7.0	3.0	7月3日	拒绝	1204.0	5.0
152.0	gain	07-31-2021	16:05:01	5.0	5.0	fair	接受	1428.0	5.0
152.0	gain	07-31-2021	16:05:01	9.0	1.0	unfair	拒绝	1909.0	5.0
152.0	gain	07-31-2021	16:05:01	8.0	2.0	unfair	拒绝	828.0	5.0
152.0	gain	07-31-2021	16:05:01	6.0	4.0	fair	拒绝	2082.0	5.0
152.0	gain	07-31-2021	16:05:01						
152.0	gain	07-31-2021	16:05:01						
152.0	gain	07-31-2021	16:05:01	5.0	5.0	fair	接受	2042.0	5.0
152.0	gain	07-31-2021	16:05:01	8.0	2.0	unfair	拒绝	1104.0	5.0
152.0	gain	07-31-2021	16:05:01	6.0	4.0	fair	接受	4616.0	4.0
152.0	gain	07-31-2021	16:05:01	9.0	1.0	unfair	拒绝	1222.0	5.0
152.0	gain	07-31-2021	16:05:01	7.0	3.0	7月3日	拒绝	1972.0	5.0
152.0	gain	07-31-2021	16:05:01	9.0	1.0	unfair	拒绝	3637.0	5.0
152.0	gain	07-31-2021	16:05:01	6.0	4.0	fair	接受	2183.0	5.0
152.0	gain	07-31-2021	16:05:01	5.0	5.0	fair	接受	2650.0	1.0
152.0	gain	07-31-2021	16:05:01	7.0	3.0	7月3日	拒绝	1812.0	5.0
152.0	gain	07-31-2021	16:05:01	8.0	2.0	unfair	拒绝	1064.0	5.0
152.0	gain	07-31-2021	16:05:01						
152.0	gain	07-31-2021	16:05:01						
152.0	gain	07-31-2021	16:05:01	5.0	5.0	fair	接受	7488.0	5.0
152.0	gain	07-31-2021	16:05:01	8.0	2.0	unfair	拒绝	1027.0	5.0
152.0	gain	07-31-2021	16:05:01	6.0	4.0	fair	接受	1226.0	4.0
152.0	gain	07-31-2021	16:05:01	7.0	3.0	7月3日	接受	789.0	3.0
152.0	gain	07-31-2021	16:05:01	9.0	1.0	unfair	拒绝	2165.0	1.0
152.0	gain	07-31-2021	16:05:01	5.0	5.0	fair	接受	2998.0	5.0
152.0	gain	07-31-2021	16:05:01	8.0	2.0	unfair	拒绝	2958.0	5.0
152.0	gain	07-31-2021	16:05:01	7.0	3.0	7月3日	拒绝	1779.0	3.0
152.0	gain	07-31-2021	16:05:01	9.0	1.0	unfair	拒绝	1479.0	5.0
152.0	gain	07-31-2021	16:05:01	6.0	4.0	fair	接受	2447.0	4.0
152.0	loss	07-31-2021	16:10:35						
152.0	loss	07-31-2021	16:10:35	-3.0	-7.0	7月3日	拒绝	7888.0	3.0
152.0	loss	07-31-2021	16:10:35	-2.0	-8.0	unfair	接受	4069.0	3.0
152.0	loss	07-31-2021	16:10:35	-5.0	-5.0	fair	接受	2161.0	4.0
