Subject	SessionDate	SessionTime	Block	choose	outcome	partnerlabel	slideInvestment.RT	targettext
55	08-08-2018	14:26:37	1					
55	08-08-2018	14:26:37	2	分享	CC	人	3493.0	5.0
55	08-08-2018	14:26:37	3	分享	CD	人	4390.0	2.0
55	08-08-2018	14:26:37	4	独占	DC	人	1448.0	4.0
55	08-08-2018	14:26:37	5	独占	DD	人	850.0	3.0
55	08-08-2018	14:26:37	6	独占	DD	人	530.0	3.0
55	08-08-2018	14:26:37	7	独占	DC	人	652.0	3.0
55	08-08-2018	14:26:37	8	独占	DC	人	471.0	4.0
55	08-08-2018	14:26:37	9	独占	DC	人	413.0	3.0
55	08-08-2018	14:26:37	10	独占	DC	人	810.0	3.0
55	08-08-2018	14:26:37	11	独占	DD	人	1100.0	3.0
55	08-08-2018	14:26:37	12					
55	08-08-2018	14:26:37	13					
55	08-08-2018	14:26:37	14	独占	DD	电脑	441.0	3.0
55	08-08-2018	14:26:37	15	独占	DC	电脑	341.0	3.0
55	08-08-2018	14:26:37	16	独占	DD	电脑	482.0	3.0
55	08-08-2018	14:26:37	17	独占	DD	电脑	293.0	3.0
55	08-08-2018	14:26:37	18	独占	DC	电脑	341.0	3.0
55	08-08-2018	14:26:37	19	独占	DC	电脑	451.0	3.0
55	08-08-2018	14:26:37	20	独占	DD	电脑	392.0	3.0
55	08-08-2018	14:26:37	21	独占	DD	电脑	261.0	3.0
55	08-08-2018	14:26:37	22	独占	DC	电脑	314.0	3.0
55	08-08-2018	14:26:37	23	独占	DC	电脑	1141.0	3.0
55	08-08-2018	14:26:37	24					
55	08-08-2018	14:26:37	25					
55	08-08-2018	14:26:37	26	分享	CD	人	2142.0	1.0
55	08-08-2018	14:26:37	27	独占	DC	人	898.0	3.0
55	08-08-2018	14:26:37	28	独占	DC	人	291.0	3.0
55	08-08-2018	14:26:37	29	独占	DD	人	294.0	3.0
55	08-08-2018	14:26:37	30	独占	DC	人	296.0	3.0
55	08-08-2018	14:26:37	31	独占	DD	人	382.0	3.0
55	08-08-2018	14:26:37	32	独占	DD	人	349.0	3.0
55	08-08-2018	14:26:37	33	独占	DC	人	668.0	3.0
55	08-08-2018	14:26:37	34	独占	DD	人	992.0	3.0
55	08-08-2018	14:26:37	35	独占	DD	人	295.0	3.0
55	08-08-2018	14:26:37	36					
55	08-08-2018	14:26:37	37					
55	08-08-2018	14:26:37	38	独占	DC	电脑	414.0	3.0
55	08-08-2018	14:26:37	39	独占	DC	电脑	297.0	3.0
55	08-08-2018	14:26:37	40	独占	DC	电脑	370.0	3.0
55	08-08-2018	14:26:37	41	独占	DC	电脑	332.0	3.0
55	08-08-2018	14:26:37	42	独占	DD	电脑	325.0	3.0
55	08-08-2018	14:26:37	43	独占	DD	电脑	347.0	3.0
55	08-08-2018	14:26:37	44	独占	DD	电脑	669.0	3.0
55	08-08-2018	14:26:37	45	独占	DD	电脑	413.0	3.0
55	08-08-2018	14:26:37	46	独占	DD	电脑	354.0	3.0
55	08-08-2018	14:26:37	47	独占	DC	电脑	252.0	3.0
