Subject	SessionDate	SessionTime	Block	choose	outcome	partnerlabel	slideInvestment.RT	targettext
227	08-30-2021	10:28:40	1					
227	08-30-2021	10:28:40	2	独占	DD	人	1016.0	3.0
227	08-30-2021	10:28:40	3	分享	CD	人	12612.0	1.0
227	08-30-2021	10:28:40	4	独占	DC	人	3401.0	4.0
227	08-30-2021	10:28:40	5	独占	DC	人	7453.0	4.0
227	08-30-2021	10:28:40	6	独占	DC	人	3537.0	4.0
227	08-30-2021	10:28:40	7	独占	DC	人	1485.0	4.0
227	08-30-2021	10:28:40	8	分享	CD	人	1457.0	1.0
227	08-30-2021	10:28:40	9	独占	DC	人	2289.0	4.0
227	08-30-2021	10:28:40	10	独占	DD	人	2351.0	2.0
227	08-30-2021	10:28:40	11	独占	DD	人	4101.0	2.0
227	08-30-2021	10:28:40	12					
227	08-30-2021	10:28:40	13					
227	08-30-2021	10:28:40	14	分享	CD	电脑	5948.0	1.0
227	08-30-2021	10:28:40	15	独占	DC	电脑	1438.0	4.0
227	08-30-2021	10:28:40	16	独占	DD	电脑	1303.0	2.0
227	08-30-2021	10:28:40	17	独占	DD	电脑	4336.0	2.0
227	08-30-2021	10:28:40	18	分享	CC	电脑	1272.0	3.0
227	08-30-2021	10:28:40	19	分享	CC	电脑	1636.0	3.0
227	08-30-2021	10:28:40	20	分享	CD	电脑	1931.0	1.0
227	08-30-2021	10:28:40	21	独占	DD	电脑	1708.0	3.0
227	08-30-2021	10:28:40	22	独占	DD	电脑	2286.0	2.0
227	08-30-2021	10:28:40	23	独占	DC	电脑	2003.0	4.0
227	08-30-2021	10:28:40	24					
227	08-30-2021	10:28:40	25					
227	08-30-2021	10:28:40	26	分享	CD	人	2906.0	1.0
227	08-30-2021	10:28:40	27	独占	DD	人	1053.0	2.0
227	08-30-2021	10:28:40	28	独占	DC	人	3252.0	4.0
227	08-30-2021	10:28:40	29	独占	DC	人	3001.0	4.0
227	08-30-2021	10:28:40	30	分享	CD	人	7000.0	1.0
227	08-30-2021	10:28:40	31	独占	DD	人	878.0	1.0
227	08-30-2021	10:28:40	32	分享	CC	人	2280.0	2.0
227	08-30-2021	10:28:40	33	独占	DD	人	1523.0	2.0
227	08-30-2021	10:28:40	34	分享	CC	人	8005.0	2.0
227	08-30-2021	10:28:40	35	独占	DC	人	2876.0	4.0
227	08-30-2021	10:28:40	36					
227	08-30-2021	10:28:40	37					
227	08-30-2021	10:28:40	38	独占	DC	电脑	2636.0	4.0
227	08-30-2021	10:28:40	39	独占	DD	电脑	1891.0	2.0
227	08-30-2021	10:28:40	40	分享	CC	电脑	1257.0	2.0
227	08-30-2021	10:28:40	41	独占	DC	电脑	1796.0	4.0
227	08-30-2021	10:28:40	42	独占	DD	电脑	1193.0	3.0
227	08-30-2021	10:28:40	43	独占	DD	电脑	929.0	2.0
227	08-30-2021	10:28:40	44	独占	DD	电脑	1096.0	2.0
227	08-30-2021	10:28:40	45	分享	CC	电脑	796.0	2.0
227	08-30-2021	10:28:40	46	独占	DC	电脑	1038.0	4.0
227	08-30-2021	10:28:40	47	独占	DC	电脑	1639.0	4.0
