Subject	SessionDate	SessionTime	Block	choose	outcome	partnerlabel	slideInvestment.RT	targettext
255	08-30-2022	11:10:27	1					
255	08-30-2022	11:10:27	2	独占	DC	人	7823.0	4.0
255	08-30-2022	11:10:27	3	独占	DC	人	3944.0	4.0
255	08-30-2022	11:10:27	4	分享	CC	人	1762.0	3.0
255	08-30-2022	11:10:27	5	独占	DD	人	4882.0	3.0
255	08-30-2022	11:10:27	6	分享	CC	人	4234.0	3.0
255	08-30-2022	11:10:27	7	独占	DC	人	2361.0	4.0
255	08-30-2022	11:10:27	8	分享	CC	人	2744.0	4.0
255	08-30-2022	11:10:27	9	独占	DC	人	2367.0	4.0
255	08-30-2022	11:10:27	10	独占	DD	人	2824.0	2.0
255	08-30-2022	11:10:27	11	分享	CC	人	1805.0	4.0
255	08-30-2022	11:10:27	12					
255	08-30-2022	11:10:27	13					
255	08-30-2022	11:10:27	14	独占	DD	电脑	2024.0	3.0
255	08-30-2022	11:10:27	15	独占	DC	电脑	2453.0	4.0
255	08-30-2022	11:10:27	16	分享	CC	电脑	1580.0	4.0
255	08-30-2022	11:10:27	17	分享	CD	电脑	1426.0	2.0
255	08-30-2022	11:10:27	18	独占	DD	电脑	2100.0	2.0
255	08-30-2022	11:10:27	19	独占	DC	电脑	2334.0	5.0
255	08-30-2022	11:10:27	20	分享	CD	电脑	1961.0	2.0
255	08-30-2022	11:10:27	21	独占	DC	电脑	3023.0	4.0
255	08-30-2022	11:10:27	22	独占	DC	电脑	1811.0	4.0
255	08-30-2022	11:10:27	23	分享	CD	电脑	1037.0	2.0
255	08-30-2022	11:10:27	24					
255	08-30-2022	11:10:27	25					
255	08-30-2022	11:10:27	26	独占	DD	人	4685.0	3.0
255	08-30-2022	11:10:27	27	独占	DD	人	834.0	4.0
255	08-30-2022	11:10:27	28	分享	CD	人	816.0	2.0
255	08-30-2022	11:10:27	29	独占	DD	人	1917.0	3.0
255	08-30-2022	11:10:27	30	独占	DD	人	1669.0	3.0
255	08-30-2022	11:10:27	31	分享	CC	人	1241.0	3.0
255	08-30-2022	11:10:27	32	独占	DD	人	707.0	4.0
255	08-30-2022	11:10:27	33	分享	CC	人	3287.0	3.0
255	08-30-2022	11:10:27	34	独占	DD	人	1313.0	2.0
255	08-30-2022	11:10:27	35	分享	CD	人	3779.0	2.0
255	08-30-2022	11:10:27	36					
255	08-30-2022	11:10:27	37					
255	08-30-2022	11:10:27	38	独占	DC	电脑	1669.0	4.0
255	08-30-2022	11:10:27	39	分享	CC	电脑	1265.0	3.0
255	08-30-2022	11:10:27	40	独占	DC	电脑	2158.0	5.0
255	08-30-2022	11:10:27	41	分享	CD	电脑	1784.0	2.0
255	08-30-2022	11:10:27	42	独占	DC	电脑	901.0	5.0
255	08-30-2022	11:10:27	43	独占	DD	电脑	1071.0	2.0
255	08-30-2022	11:10:27	44	独占	DD	电脑	1406.0	3.0
255	08-30-2022	11:10:27	45	独占	DD	电脑	1727.0	3.0
255	08-30-2022	11:10:27	46	分享	CD	电脑	2089.0	2.0
255	08-30-2022	11:10:27	47	独占	DC	电脑	1488.0	3.0
