Subject	Context	SessionDate	SessionTime	proposer	receivor	type	choose	Wait2.RT	targettext
196.0	gain	08-22-2021	9:36:53						
196.0	gain	08-22-2021	9:36:53	7.0	3.0	7ÔÂ3ÈÕ	¾Ü¾ø	8050.0	1.0
196.0	gain	08-22-2021	9:36:53	8.0	2.0	unfair	¾Ü¾ø	4431.0	1.0
196.0	gain	08-22-2021	9:36:53	5.0	5.0	fair	½ÓÊÜ	1433.0	3.0
196.0	gain	08-22-2021	9:36:53	9.0	1.0	unfair	¾Ü¾ø	1791.0	1.0
196.0	gain	08-22-2021	9:36:53	6.0	4.0	fair	¾Ü¾ø	1268.0	1.0
196.0	gain	08-22-2021	9:36:53	6.0	4.0	fair	¾Ü¾ø	1474.0	3.0
196.0	gain	08-22-2021	9:36:53	9.0	1.0	unfair	¾Ü¾ø	1964.0	1.0
196.0	gain	08-22-2021	9:36:53	5.0	5.0	fair	½ÓÊÜ	1224.0	3.0
196.0	gain	08-22-2021	9:36:53	7.0	3.0	7ÔÂ3ÈÕ	¾Ü¾ø	847.0	1.0
196.0	gain	08-22-2021	9:36:53	8.0	2.0	unfair	¾Ü¾ø	528.0	3.0
196.0	gain	08-22-2021	9:36:53						
196.0	gain	08-22-2021	9:36:53						
196.0	gain	08-22-2021	9:36:53	9.0	1.0	unfair	¾Ü¾ø	4201.0	1.0
196.0	gain	08-22-2021	9:36:53	8.0	2.0	unfair	¾Ü¾ø	619.0	3.0
196.0	gain	08-22-2021	9:36:53	5.0	5.0	fair	½ÓÊÜ	1418.0	1.0
196.0	gain	08-22-2021	9:36:53	6.0	4.0	fair	¾Ü¾ø	4295.0	1.0
196.0	gain	08-22-2021	9:36:53	7.0	3.0	7ÔÂ3ÈÕ	¾Ü¾ø	1115.0	1.0
196.0	gain	08-22-2021	9:36:53	5.0	5.0	fair	½ÓÊÜ	1348.0	3.0
196.0	gain	08-22-2021	9:36:53	7.0	3.0	7ÔÂ3ÈÕ	¾Ü¾ø	1066.0	1.0
196.0	gain	08-22-2021	9:36:53	6.0	4.0	fair	¾Ü¾ø	1068.0	1.0
196.0	gain	08-22-2021	9:36:53	8.0	2.0	unfair	¾Ü¾ø	2482.0	1.0
196.0	gain	08-22-2021	9:36:53	9.0	1.0	unfair	¾Ü¾ø	1165.0	1.0
196.0	gain	08-22-2021	9:36:53						
196.0	gain	08-22-2021	9:36:53						
196.0	gain	08-22-2021	9:36:53	8.0	2.0	unfair	¾Ü¾ø	967.0	1.0
196.0	gain	08-22-2021	9:36:53	5.0	5.0	fair	½ÓÊÜ	1153.0	3.0
196.0	gain	08-22-2021	9:36:53	7.0	3.0	7ÔÂ3ÈÕ	¾Ü¾ø	1560.0	1.0
196.0	gain	08-22-2021	9:36:53	6.0	4.0	fair	¾Ü¾ø	532.0	1.0
196.0	gain	08-22-2021	9:36:53	9.0	1.0	unfair	¾Ü¾ø	808.0	1.0
196.0	gain	08-22-2021	9:36:53	8.0	2.0	unfair	¾Ü¾ø	420.0	1.0
196.0	gain	08-22-2021	9:36:53	5.0	5.0	fair	½ÓÊÜ	1716.0	5.0
196.0	gain	08-22-2021	9:36:53	7.0	3.0	7ÔÂ3ÈÕ	¾Ü¾ø	609.0	1.0
196.0	gain	08-22-2021	9:36:53	6.0	4.0	fair	¾Ü¾ø	542.0	1.0
196.0	gain	08-22-2021	9:36:53	9.0	1.0	unfair	¾Ü¾ø	529.0	1.0
196.0	gain	08-22-2021	9:36:53						
196.0	gain	08-22-2021	9:36:53						
196.0	gain	08-22-2021	9:36:53	6.0	4.0	fair	¾Ü¾ø	961.0	1.0
196.0	gain	08-22-2021	9:36:53	9.0	1.0	unfair	¾Ü¾ø	732.0	1.0
196.0	gain	08-22-2021	9:36:53	8.0	2.0	unfair	¾Ü¾ø	534.0	1.0
196.0	gain	08-22-2021	9:36:53	7.0	3.0	7ÔÂ3ÈÕ	¾Ü¾ø	597.0	1.0
196.0	gain	08-22-2021	9:36:53	5.0	5.0	fair	½ÓÊÜ	1547.0	3.0
196.0	gain	08-22-2021	9:36:53	5.0	5.0	fair	½ÓÊÜ	1179.0	3.0
196.0	gain	08-22-2021	9:36:53	6.0	4.0	fair	¾Ü¾ø	966.0	1.0
196.0	gain	08-22-2021	9:36:53	9.0	1.0	unfair	¾Ü¾ø	826.0	1.0
196.0	gain	08-22-2021	9:36:53	8.0	2.0	unfair	¾Ü¾ø	568.0	1.0
196.0	gain	08-22-2021	9:36:53	7.0	3.0	7ÔÂ3ÈÕ	¾Ü¾ø	580.0	1.0
196.0	loss	08-22-2021	9:41:34						
196.0	loss	08-22-2021	9:41:34	-4.0	-6.0	fair	¾Ü¾ø	22274.0	1.0
196.0	loss	08-22-2021	9:41:34	-1.0	-9.0	unfair	¾Ü¾ø	5438.0	1.0
196.0	loss	08-22-2021	9:41:34	-5.0	-5.0	fair	½ÓÊÜ	2366.0	3.0
196.0	loss	08-22-2021	9:41:34	-3.0	-7.0	7ÔÂ3ÈÕ	¾Ü¾ø	1585.0	1.0
196.0	loss	08-22-2021	9:41:34	-2.0	-8.0	unfair	¾Ü¾ø	1128.0	1.0
196.0	loss	08-22-2021	9:41:34	-4.0	-6.0	fair	¾Ü¾ø	1036.0	1.0
196.0	loss	08-22-2021	9:41:34	-5.0	-5.0	fair	½ÓÊÜ	904.0	3.0
196.0	loss	08-22-2021	9:41:34	-2.0	-8.0	unfair	¾Ü¾ø	1152.0	1.0
196.0	loss	08-22-2021	9:41:34	-1.0	-9.0	unfair	¾Ü¾ø	995.0	1.0
196.0	loss	08-22-2021	9:41:34	-3.0	-7.0	7ÔÂ3ÈÕ	¾Ü¾ø	1175.0	1.0
196.0	loss	08-22-2021	9:41:34						
196.0	loss	08-22-2021	9:41:34						
196.0	loss	08-22-2021	9:41:34	-4.0	-6.0	fair	¾Ü¾ø	1884.0	1.0
196.0	loss	08-22-2021	9:41:34	-1.0	-9.0	unfair	¾Ü¾ø	1139.0	1.0
196.0	loss	08-22-2021	9:41:34	-3.0	-7.0	7ÔÂ3ÈÕ	¾Ü¾ø	683.0	1.0
196.0	loss	08-22-2021	9:41:34	-2.0	-8.0	unfair	¾Ü¾ø	3961.0	1.0
196.0	loss	08-22-2021	9:41:34	-5.0	-5.0	fair	½ÓÊÜ	652.0	3.0
196.0	loss	08-22-2021	9:41:34	-1.0	-9.0	unfair	¾Ü¾ø	748.0	1.0
196.0	loss	08-22-2021	9:41:34	-3.0	-7.0	7ÔÂ3ÈÕ	¾Ü¾ø	618.0	1.0
196.0	loss	08-22-2021	9:41:34	-2.0	-8.0	unfair	¾Ü¾ø	493.0	1.0
196.0	loss	08-22-2021	9:41:34	-5.0	-5.0	fair	½ÓÊÜ	758.0	3.0
196.0	loss	08-22-2021	9:41:34	-4.0	-6.0	fair	¾Ü¾ø	1527.0	1.0
196.0	loss	08-22-2021	9:41:34						
196.0	loss	08-22-2021	9:41:34						
196.0	loss	08-22-2021	9:41:34	-5.0	-5.0	fair	½ÓÊÜ	614.0	3.0
196.0	loss	08-22-2021	9:41:34	-2.0	-8.0	unfair	¾Ü¾ø	457.0	1.0
196.0	loss	08-22-2021	9:41:34	-3.0	-7.0	7ÔÂ3ÈÕ	¾Ü¾ø	4856.0	1.0
196.0	loss	08-22-2021	9:41:34	-4.0	-6.0	fair	¾Ü¾ø	2485.0	3.0
196.0	loss	08-22-2021	9:41:34	-1.0	-9.0	unfair	¾Ü¾ø	1620.0	1.0
196.0	loss	08-22-2021	9:41:34	-1.0	-9.0	unfair	¾Ü¾ø	618.0	3.0
196.0	loss	08-22-2021	9:41:34	-2.0	-8.0	unfair	¾Ü¾ø	793.0	1.0
196.0	loss	08-22-2021	9:41:34	-4.0	-6.0	fair	¾Ü¾ø	702.0	1.0
196.0	loss	08-22-2021	9:41:34	-5.0	-5.0	fair	½ÓÊÜ	991.0	3.0
196.0	loss	08-22-2021	9:41:34	-3.0	-7.0	7ÔÂ3ÈÕ	¾Ü¾ø	413.0	3.0
196.0	loss	08-22-2021	9:41:34						
196.0	loss	08-22-2021	9:41:34						
196.0	loss	08-22-2021	9:41:34	-3.0	-7.0	7ÔÂ3ÈÕ	¾Ü¾ø	888.0	1.0
196.0	loss	08-22-2021	9:41:34	-4.0	-6.0	fair	¾Ü¾ø	465.0	1.0
196.0	loss	08-22-2021	9:41:34	-5.0	-5.0	fair	¾Ü¾ø	277.0	1.0
196.0	loss	08-22-2021	9:41:34	-2.0	-8.0	unfair	¾Ü¾ø	505.0	1.0
196.0	loss	08-22-2021	9:41:34	-1.0	-9.0	unfair	¾Ü¾ø	481.0	1.0
196.0	loss	08-22-2021	9:41:34	-2.0	-8.0	unfair	¾Ü¾ø	1074.0	1.0
196.0	loss	08-22-2021	9:41:34	-4.0	-6.0	fair	¾Ü¾ø	580.0	1.0
196.0	loss	08-22-2021	9:41:34	-3.0	-7.0	7ÔÂ3ÈÕ	¾Ü¾ø	546.0	1.0
196.0	loss	08-22-2021	9:41:34	-5.0	-5.0	fair	½ÓÊÜ	417.0	3.0
