Subject	Context	SessionDate	SessionTime	proposer	receivor	type	choose	Wait2.RT	targettext
250.0	gain	05-23-2021	10:55:49						
250.0	gain	05-23-2021	10:55:49	7.0	3.0	7月3日	拒绝	4421.0	3.0
250.0	gain	05-23-2021	10:55:49	5.0	5.0	fair	接受	1676.0	4.0
250.0	gain	05-23-2021	10:55:49	8.0	2.0	unfair	拒绝	2921.0	3.0
250.0	gain	05-23-2021	10:55:49	9.0	1.0	unfair	拒绝	1708.0	3.0
250.0	gain	05-23-2021	10:55:49	6.0	4.0	fair	拒绝	1425.0	3.0
250.0	gain	05-23-2021	10:55:49	7.0	3.0	7月3日	拒绝	991.0	3.0
250.0	gain	05-23-2021	10:55:49	5.0	5.0	fair	接受	1310.0	4.0
250.0	gain	05-23-2021	10:55:49	6.0	4.0	fair	拒绝	1200.0	3.0
250.0	gain	05-23-2021	10:55:49	8.0	2.0	unfair	拒绝	859.0	3.0
250.0	gain	05-23-2021	10:55:49	9.0	1.0	unfair	拒绝	1544.0	3.0
250.0	gain	05-23-2021	10:55:49						
250.0	gain	05-23-2021	10:55:49						
250.0	gain	05-23-2021	10:55:49	9.0	1.0	unfair	拒绝	1709.0	3.0
250.0	gain	05-23-2021	10:55:49	6.0	4.0	fair	拒绝	1960.0	3.0
250.0	gain	05-23-2021	10:55:49	7.0	3.0	7月3日	拒绝	886.0	3.0
250.0	gain	05-23-2021	10:55:49	5.0	5.0	fair	接受	765.0	4.0
250.0	gain	05-23-2021	10:55:49	8.0	2.0	unfair	拒绝	738.0	3.0
250.0	gain	05-23-2021	10:55:49	6.0	4.0	fair	拒绝	1037.0	3.0
250.0	gain	05-23-2021	10:55:49	8.0	2.0	unfair	拒绝	666.0	3.0
250.0	gain	05-23-2021	10:55:49	5.0	5.0	fair	接受	830.0	4.0
250.0	gain	05-23-2021	10:55:49	7.0	3.0	7月3日	拒绝	4818.0	3.0
250.0	gain	05-23-2021	10:55:49	9.0	1.0	unfair	拒绝	528.0	1.0
250.0	gain	05-23-2021	10:55:49						
250.0	gain	05-23-2021	10:55:49						
250.0	gain	05-23-2021	10:55:49	8.0	2.0	unfair	拒绝	1528.0	2.0
250.0	gain	05-23-2021	10:55:49	6.0	4.0	fair	拒绝	787.0	2.0
250.0	gain	05-23-2021	10:55:49	7.0	3.0	7月3日	拒绝	494.0	2.0
250.0	gain	05-23-2021	10:55:49	5.0	5.0	fair	接受	722.0	3.0
250.0	gain	05-23-2021	10:55:49	9.0	1.0	unfair	拒绝	804.0	1.0
250.0	gain	05-23-2021	10:55:49	5.0	5.0	fair	接受	660.0	3.0
250.0	gain	05-23-2021	10:55:49	9.0	1.0	unfair	拒绝	703.0	1.0
250.0	gain	05-23-2021	10:55:49	6.0	4.0	fair	拒绝	989.0	3.0
250.0	gain	05-23-2021	10:55:49	7.0	3.0	7月3日	拒绝	682.0	2.0
250.0	gain	05-23-2021	10:55:49	8.0	2.0	unfair	拒绝	397.0	2.0
250.0	gain	05-23-2021	10:55:49						
250.0	gain	05-23-2021	10:55:49						
250.0	gain	05-23-2021	10:55:49	9.0	1.0	unfair	拒绝	1245.0	3.0
250.0	gain	05-23-2021	10:55:49	5.0	5.0	fair	接受	914.0	3.0
250.0	gain	05-23-2021	10:55:49	8.0	2.0	unfair	拒绝	1248.0	1.0
250.0	gain	05-23-2021	10:55:49	7.0	3.0	7月3日	拒绝	650.0	1.0
250.0	gain	05-23-2021	10:55:49	6.0	4.0	fair	拒绝	1282.0	3.0
250.0	gain	05-23-2021	10:55:49	6.0	4.0	fair	拒绝	1024.0	3.0
250.0	gain	05-23-2021	10:55:49	9.0	1.0	unfair	拒绝	792.0	1.0
250.0	gain	05-23-2021	10:55:49	8.0	2.0	unfair	拒绝	597.0	2.0
250.0	gain	05-23-2021	10:55:49	7.0	3.0	7月3日	拒绝	411.0	2.0
250.0	gain	05-23-2021	10:55:49	5.0	5.0	fair	接受	664.0	3.0
250.0	loss	05-23-2021	10:59:43						
250.0	loss	05-23-2021	10:59:43	-2.0	-8.0	unfair	接受	3996.0	1.0
