Subject	SessionDate	SessionTime	Block	choose	outcome	partnerlabel	slideInvestment.RT	targettext
148	02-10-2021	9:53:48	1					
148	02-10-2021	9:53:48	2	独占	DD	人	3590.0	3.0
148	02-10-2021	9:53:48	3	独占	DC	人	2556.0	5.0
148	02-10-2021	9:53:48	4	独占	DD	人	3651.0	3.0
148	02-10-2021	9:53:48	5	分享	CC	人	2752.0	5.0
148	02-10-2021	9:53:48	6	独占	DD	人	1911.0	5.0
148	02-10-2021	9:53:48	7	独占	DC	人	1350.0	5.0
148	02-10-2021	9:53:48	8	独占	DD	人	1058.0	5.0
148	02-10-2021	9:53:48	9	独占	DD	人	3551.0	3.0
148	02-10-2021	9:53:48	10	分享	CC	人	702.0	5.0
148	02-10-2021	9:53:48	11	独占	DC	人	2610.0	5.0
148	02-10-2021	9:53:48	12					
148	02-10-2021	9:53:48	13					
148	02-10-2021	9:53:48	14	独占	DD	电脑	1177.0	5.0
148	02-10-2021	9:53:48	15	分享	CC	电脑	1341.0	5.0
148	02-10-2021	9:53:48	16	独占	DD	电脑	868.0	3.0
148	02-10-2021	9:53:48	17	独占	DC	电脑	4447.0	5.0
148	02-10-2021	9:53:48	18	独占	DC	电脑	2703.0	3.0
148	02-10-2021	9:53:48	19	分享	CD	电脑	613.0	1.0
148	02-10-2021	9:53:48	20	独占	DC	电脑	2182.0	3.0
148	02-10-2021	9:53:48	21	独占	DD	电脑	1147.0	3.0
148	02-10-2021	9:53:48	22	独占	DC	电脑	1965.0	3.0
148	02-10-2021	9:53:48	23	独占	DC	电脑	554.0	3.0
148	02-10-2021	9:53:48	24					
148	02-10-2021	9:53:48	25					
148	02-10-2021	9:53:48	26	独占	DC	人	3024.0	3.0
148	02-10-2021	9:53:48	27	独占	DD	人	2311.0	3.0
148	02-10-2021	9:53:48	28	独占	DD	人	769.0	3.0
148	02-10-2021	9:53:48	29	分享	CD	人	1073.0	1.0
148	02-10-2021	9:53:48	30	独占	DC	人	2507.0	3.0
148	02-10-2021	9:53:48	31	独占	DD	人	1340.0	3.0
148	02-10-2021	9:53:48	32	独占	DC	人	535.0	5.0
148	02-10-2021	9:53:48	33	独占	DC	人	4300.0	5.0
148	02-10-2021	9:53:48	34	独占	DC	人	775.0	3.0
148	02-10-2021	9:53:48	35	独占	DD	人	1112.0	5.0
148	02-10-2021	9:53:48	36					
148	02-10-2021	9:53:48	37					
148	02-10-2021	9:53:48	38	独占	DC	电脑	1058.0	3.0
148	02-10-2021	9:53:48	39	分享	CC	电脑	1415.0	3.0
148	02-10-2021	9:53:48	40	独占	DD	电脑	1825.0	3.0
148	02-10-2021	9:53:48	41	独占	DD	电脑	896.0	3.0
148	02-10-2021	9:53:48	42	独占	DD	电脑	832.0	3.0
148	02-10-2021	9:53:48	43	分享	CD	电脑	368.0	3.0
148	02-10-2021	9:53:48	44	独占	DC	电脑	1987.0	5.0
148	02-10-2021	9:53:48	45	独占	DD	电脑	1816.0	3.0
148	02-10-2021	9:53:48	46	分享	CC	电脑	772.0	3.0
148	02-10-2021	9:53:48	47	独占	DD	电脑	2022.0	3.0
