Subject	Context	SessionDate	SessionTime	proposer	receivor	type	choose	Wait2.RT	targettext
272.0	gain	06-01-2021	16:40:00						
272.0	gain	06-01-2021	16:40:00	6.0	4.0	fair	接受	2662.0	2.0
272.0	gain	06-01-2021	16:40:00	5.0	5.0	fair	接受	1345.0	5.0
272.0	gain	06-01-2021	16:40:00	7.0	3.0	7月3日	拒绝	1781.0	1.0
272.0	gain	06-01-2021	16:40:00	8.0	2.0	unfair	拒绝	1326.0	2.0
272.0	gain	06-01-2021	16:40:00	9.0	1.0	unfair	拒绝	1468.0	1.0
272.0	gain	06-01-2021	16:40:00	9.0	1.0	unfair	拒绝	1018.0	1.0
272.0	gain	06-01-2021	16:40:00	5.0	5.0	fair	接受	887.0	5.0
272.0	gain	06-01-2021	16:40:00	6.0	4.0	fair	拒绝	1515.0	2.0
272.0	gain	06-01-2021	16:40:00	8.0	2.0	unfair	拒绝	1056.0	3.0
272.0	gain	06-01-2021	16:40:00	7.0	3.0	7月3日	接受	1757.0	2.0
272.0	gain	06-01-2021	16:40:00						
272.0	gain	06-01-2021	16:40:00						
272.0	gain	06-01-2021	16:40:00	8.0	2.0	unfair	拒绝	1499.0	1.0
272.0	gain	06-01-2021	16:40:00	7.0	3.0	7月3日	拒绝	539.0	3.0
272.0	gain	06-01-2021	16:40:00	9.0	1.0	unfair	拒绝	1076.0	1.0
272.0	gain	06-01-2021	16:40:00	6.0	4.0	fair	接受	2564.0	3.0
272.0	gain	06-01-2021	16:40:00	5.0	5.0	fair	接受	1178.0	5.0
272.0	gain	06-01-2021	16:40:00	7.0	3.0	7月3日	拒绝	1045.0	1.0
272.0	gain	06-01-2021	16:40:00	6.0	4.0	fair	接受	1280.0	1.0
272.0	gain	06-01-2021	16:40:00	9.0	1.0	unfair	拒绝	912.0	1.0
272.0	gain	06-01-2021	16:40:00	5.0	5.0	fair	接受	648.0	5.0
272.0	gain	06-01-2021	16:40:00	8.0	2.0	unfair	拒绝	782.0	1.0
272.0	gain	06-01-2021	16:40:00						
272.0	gain	06-01-2021	16:40:00						
272.0	gain	06-01-2021	16:40:00	9.0	1.0	unfair	拒绝	759.0	1.0
272.0	gain	06-01-2021	16:40:00	5.0	5.0	fair	接受	742.0	5.0
272.0	gain	06-01-2021	16:40:00	6.0	4.0	fair	接受	966.0	3.0
272.0	gain	06-01-2021	16:40:00	7.0	3.0	7月3日	拒绝	684.0	2.0
272.0	gain	06-01-2021	16:40:00	8.0	2.0	unfair	拒绝	600.0	1.0
272.0	gain	06-01-2021	16:40:00	6.0	4.0	fair	接受	1275.0	1.0
272.0	gain	06-01-2021	16:40:00	8.0	2.0	unfair	拒绝	813.0	1.0
272.0	gain	06-01-2021	16:40:00	9.0	1.0	unfair	拒绝	450.0	3.0
272.0	gain	06-01-2021	16:40:00	5.0	5.0	fair	接受	1207.0	5.0
272.0	gain	06-01-2021	16:40:00	7.0	3.0	7月3日	拒绝	1228.0	3.0
272.0	gain	06-01-2021	16:40:00						
272.0	gain	06-01-2021	16:40:00						
272.0	gain	06-01-2021	16:40:00	5.0	5.0	fair	接受	838.0	5.0
272.0	gain	06-01-2021	16:40:00	6.0	4.0	fair	接受	825.0	2.0
272.0	gain	06-01-2021	16:40:00	7.0	3.0	7月3日	拒绝	867.0	1.0
272.0	gain	06-01-2021	16:40:00	9.0	1.0	unfair	拒绝	539.0	1.0
272.0	gain	06-01-2021	16:40:00	8.0	2.0	unfair	拒绝	596.0	3.0
272.0	gain	06-01-2021	16:40:00	5.0	5.0	fair	接受	943.0	5.0
272.0	gain	06-01-2021	16:40:00	9.0	1.0	unfair	拒绝	961.0	1.0
272.0	gain	06-01-2021	16:40:00	8.0	2.0	unfair	拒绝	921.0	1.0
272.0	gain	06-01-2021	16:40:00	6.0	4.0	fair	接受	885.0	2.0
272.0	gain	06-01-2021	16:40:00	7.0	3.0	7月3日	拒绝	1706.0	1.0
272.0	loss	06-01-2021	16:43:45						
272.0	loss	06-01-2021	16:43:45	-5.0	-5.0	fair	接受	1444.0	4.0
272.0	loss	06-01-2021	16:43:45	-2.0	-8.0	unfair	拒绝	1655.0	1.0
272.0	loss	06-01-2021	16:43:45	-3.0	-7.0	7月3日	拒绝	1078.0	1.0
272.0	loss	06-01-2021	16:43:45	-1.0	-9.0	unfair	拒绝	687.0	3.0
272.0	loss	06-01-2021	16:43:45	-4.0	-6.0	fair	接受	1177.0	3.0
272.0	loss	06-01-2021	16:43:45	-5.0	-5.0	fair	接受	827.0	5.0
272.0	loss	06-01-2021	16:43:45	-1.0	-9.0	unfair	拒绝	874.0	1.0
272.0	loss	06-01-2021	16:43:45	-4.0	-6.0	fair	接受	1168.0	3.0
272.0	loss	06-01-2021	16:43:45	-2.0	-8.0	unfair	拒绝	823.0	1.0
272.0	loss	06-01-2021	16:43:45	-3.0	-7.0	7月3日	接受	1675.0	1.0
272.0	loss	06-01-2021	16:43:45						
272.0	loss	06-01-2021	16:43:45						
272.0	loss	06-01-2021	16:43:45	-1.0	-9.0	unfair	拒绝	716.0	1.0
272.0	loss	06-01-2021	16:43:45	-5.0	-5.0	fair	接受	639.0	5.0
272.0	loss	06-01-2021	16:43:45	-2.0	-8.0	unfair	拒绝	834.0	1.0
272.0	loss	06-01-2021	16:43:45	-3.0	-7.0	7月3日	拒绝	678.0	1.0
272.0	loss	06-01-2021	16:43:45	-4.0	-6.0	fair	接受	794.0	3.0
272.0	loss	06-01-2021	16:43:45	-4.0	-6.0	fair	接受	653.0	3.0
272.0	loss	06-01-2021	16:43:45	-5.0	-5.0	fair	接受	946.0	5.0
272.0	loss	06-01-2021	16:43:45	-3.0	-7.0	7月3日	拒绝	1172.0	2.0
272.0	loss	06-01-2021	16:43:45	-2.0	-8.0	unfair	拒绝	1423.0	1.0
272.0	loss	06-01-2021	16:43:45	-1.0	-9.0	unfair	拒绝	665.0	1.0
272.0	loss	06-01-2021	16:43:45						
272.0	loss	06-01-2021	16:43:45						
272.0	loss	06-01-2021	16:43:45	-3.0	-7.0	7月3日	拒绝	1156.0	1.0
272.0	loss	06-01-2021	16:43:45	-5.0	-5.0	fair	接受	467.0	5.0
272.0	loss	06-01-2021	16:43:45	-2.0	-8.0	unfair	拒绝	1381.0	1.0
272.0	loss	06-01-2021	16:43:45	-1.0	-9.0	unfair	拒绝	591.0	1.0
272.0	loss	06-01-2021	16:43:45	-4.0	-6.0	fair	接受	807.0	5.0
272.0	loss	06-01-2021	16:43:45	-3.0	-7.0	7月3日	拒绝	959.0	1.0
272.0	loss	06-01-2021	16:43:45	-2.0	-8.0	unfair	拒绝	2373.0	1.0
272.0	loss	06-01-2021	16:43:45	-5.0	-5.0	fair	接受	656.0	5.0
272.0	loss	06-01-2021	16:43:45	-4.0	-6.0	fair	接受	672.0	1.0
272.0	loss	06-01-2021	16:43:45	-1.0	-9.0	unfair	拒绝	2360.0	1.0
272.0	loss	06-01-2021	16:43:45						
272.0	loss	06-01-2021	16:43:45						
272.0	loss	06-01-2021	16:43:45	-4.0	-6.0	fair	接受	967.0	5.0
272.0	loss	06-01-2021	16:43:45	-3.0	-7.0	7月3日	拒绝	1379.0	1.0
272.0	loss	06-01-2021	16:43:45	-5.0	-5.0	fair	接受	654.0	5.0
272.0	loss	06-01-2021	16:43:45	-2.0	-8.0	unfair	拒绝	737.0	1.0
272.0	loss	06-01-2021	16:43:45	-1.0	-9.0	unfair	拒绝	550.0	1.0
272.0	loss	06-01-2021	16:43:45	-3.0	-7.0	7月3日	拒绝	650.0	1.0
272.0	loss	06-01-2021	16:43:45	-5.0	-5.0	fair	接受	410.0	5.0
