Subject	SessionDate	SessionTime	Block	choose	outcome	partnerlabel	slideInvestment.RT	targettext
146	10-01-2019	13:49:18	1					
146	10-01-2019	13:49:18	2	独占	DC	人	4236.0	5.0
146	10-01-2019	13:49:18	3	独占	DC	人	619.0	5.0
146	10-01-2019	13:49:18	4	分享	CD	人	2635.0	1.0
146	10-01-2019	13:49:18	5	独占	DD	人	4095.0	2.0
146	10-01-2019	13:49:18	6	独占	DC	人	1271.0	3.0
146	10-01-2019	13:49:18	7	独占	DC	人	791.0	3.0
146	10-01-2019	13:49:18	8	独占	DD	人	973.0	4.0
146	10-01-2019	13:49:18	9	独占	DC	人	1562.0	5.0
146	10-01-2019	13:49:18	10	独占	DD	人	1113.0	5.0
146	10-01-2019	13:49:18	11	分享	CD	人	985.0	1.0
146	10-01-2019	13:49:18	12					
146	10-01-2019	13:49:18	13					
146	10-01-2019	13:49:18	14	独占	DD	电脑	1079.0	3.0
146	10-01-2019	13:49:18	15	独占	DD	电脑	656.0	5.0
146	10-01-2019	13:49:18	16	独占	DC	电脑	2081.0	5.0
146	10-01-2019	13:49:18	17	独占	DD	电脑	1121.0	5.0
146	10-01-2019	13:49:18	18	独占	DC	电脑	548.0	5.0
146	10-01-2019	13:49:18	19	独占	DC	电脑	10106.0	5.0
146	10-01-2019	13:49:18	20	分享	CD	电脑	3719.0	3.0
146	10-01-2019	13:49:18	21	独占	DC	电脑	535.0	5.0
146	10-01-2019	13:49:18	22	独占	DD	电脑	879.0	5.0
146	10-01-2019	13:49:18	23	独占	DC	电脑	625.0	5.0
146	10-01-2019	13:49:18	24					
146	10-01-2019	13:49:18	25					
146	10-01-2019	13:49:18	26	独占	DC	人	2763.0	3.0
146	10-01-2019	13:49:18	27	独占	DD	人	321.0	3.0
146	10-01-2019	13:49:18	28	独占	DD	人	1453.0	3.0
146	10-01-2019	13:49:18	29	独占	DC	人	507.0	3.0
146	10-01-2019	13:49:18	30	独占	DD	人	7298.0	3.0
146	10-01-2019	13:49:18	31	独占	DC	人	709.0	3.0
146	10-01-2019	13:49:18	32	独占	DC	人	7629.0	3.0
146	10-01-2019	13:49:18	33	独占	DC	人	1791.0	3.0
146	10-01-2019	13:49:18	34	独占	DD	人	1788.0	5.0
146	10-01-2019	13:49:18	35	独占	DD	人	972.0	5.0
146	10-01-2019	13:49:18	36					
146	10-01-2019	13:49:18	37					
146	10-01-2019	13:49:18	38	独占	DC	电脑	4273.0	3.0
146	10-01-2019	13:49:18	39	分享	CC	电脑	571.0	5.0
146	10-01-2019	13:49:18	40	独占	DD	电脑	267.0	5.0
146	10-01-2019	13:49:18	41	独占	DD	电脑	1044.0	3.0
146	10-01-2019	13:49:18	42	独占	DC	电脑	762.0	3.0
146	10-01-2019	13:49:18	43	独占	DD	电脑	1348.0	4.0
146	10-01-2019	13:49:18	44	独占	DC	电脑	1096.0	3.0
146	10-01-2019	13:49:18	45	独占	DC	电脑	220.0	3.0
146	10-01-2019	13:49:18	46	独占	DD	电脑	171.0	4.0
146	10-01-2019	13:49:18	47	独占	DD	电脑	367.0	4.0
146	03-13-2021	15:49:41	1					
146	03-13-2021	15:49:41	2	独占	DD	人	4962.0	4.0
146	03-13-2021	15:49:41	3	分享	CD	人	8674.0	5.0
146	03-13-2021	15:49:41	4	分享	CC	人	8778.0	4.0
