Subject	SessionDate	SessionTime	Block	choose	outcome	partnerlabel	slideInvestment.RT	targettext
29	07-23-2018	11:59:35	1					
29	07-23-2018	11:59:35	2	分享	CC	人	1452.0	4.0
29	07-23-2018	11:59:35	3	独占	DC	人	3884.0	2.0
29	07-23-2018	11:59:35	4	分享	CC	人	2238.0	5.0
29	07-23-2018	11:59:35	5	独占	DD	人	2150.0	2.0
29	07-23-2018	11:59:35	6	分享	CD	人	4854.0	3.0
29	07-23-2018	11:59:35	7	独占	DC	人	2736.0	3.0
29	07-23-2018	11:59:35	8	分享	CC	人	3249.0	4.0
29	07-23-2018	11:59:35	9	分享	CC	人	2846.0	5.0
29	07-23-2018	11:59:35	10	独占	DD	人	3885.0	1.0
29	07-23-2018	11:59:35	11	独占	DC	人	2911.0	4.0
29	07-23-2018	11:59:35	12					
29	07-23-2018	11:59:35	13					
29	07-23-2018	11:59:35	14	独占	DC	电脑	287.0	4.0
29	07-23-2018	11:59:35	15	分享	CC	电脑	5735.0	3.0
29	07-23-2018	11:59:35	16	独占	DC	电脑	2704.0	5.0
29	07-23-2018	11:59:35	17	分享	CD	电脑	4298.0	1.0
29	07-23-2018	11:59:35	18	独占	DC	电脑	1445.0	4.0
29	07-23-2018	11:59:35	19	独占	DC	电脑	2540.0	3.0
29	07-23-2018	11:59:35	20	分享	CD	电脑	1847.0	3.0
29	07-23-2018	11:59:35	21	独占	DC	电脑	3559.0	5.0
29	07-23-2018	11:59:35	22	独占	DD	电脑	1236.0	2.0
29	07-23-2018	11:59:35	23	分享	CC	电脑	1958.0	5.0
29	07-23-2018	11:59:35	24					
29	07-23-2018	11:59:35	25					
29	07-23-2018	11:59:35	26	分享	CD	人	2081.0	2.0
29	07-23-2018	11:59:35	27	独占	DD	人	2509.0	1.0
29	07-23-2018	11:59:35	28	独占	DD	人	9884.0	1.0
29	07-23-2018	11:59:35	29	分享	CC	人	1027.0	5.0
29	07-23-2018	11:59:35	30	独占	DC	人	8539.0	3.0
29	07-23-2018	11:59:35	31	分享	CD	人	6028.0	2.0
29	07-23-2018	11:59:35	32	独占	DC	人	4192.0	3.0
29	07-23-2018	11:59:35	33	独占	DD	人	3458.0	1.0
29	07-23-2018	11:59:35	34	分享	CD	人	13144.0	1.0
29	07-23-2018	11:59:35	35	独占	DD	人	1065.0	2.0
29	07-23-2018	11:59:35	36					
29	07-23-2018	11:59:35	37					
29	07-23-2018	11:59:35	38	独占	DC	电脑	1477.0	5.0
29	07-23-2018	11:59:35	39	独占	DD	电脑	3163.0	2.0
29	07-23-2018	11:59:35	40	分享	CC	电脑	2757.0	5.0
29	07-23-2018	11:59:35	41	独占	DD	电脑	7181.0	2.0
29	07-23-2018	11:59:35	42	独占	DD	电脑	2383.0	4.0
29	07-23-2018	11:59:35	43	独占	DD	电脑	2306.0	3.0
29	07-23-2018	11:59:35	44	独占	DD	电脑	1846.0	1.0
29	07-23-2018	11:59:35	45	独占	DC	电脑	3257.0	5.0
29	07-23-2018	11:59:35	46	分享	CD	电脑	6411.0	2.0
29	07-23-2018	11:59:35	47	独占	DD	电脑	4187.0	3.0
