Subject,SessionDate,SessionTime,Block,choose,outcome,partnerlabel,slideInvestment.RT,targettext
7,07-09-2018,12:47:28,1,,,,,
7,07-09-2018,12:47:28,2,独占,DD,人,2872,3
7,07-09-2018,12:47:28,3,独占,DD,人,2898,3
7,07-09-2018,12:47:28,4,分享,CC,人,1417,4
7,07-09-2018,12:47:28,5,分享,CC,人,1474,4
7,07-09-2018,12:47:28,6,独占,DD,人,909,3
7,07-09-2018,12:47:28,7,分享,CC,人,2091,3
7,07-09-2018,12:47:28,8,独占,DC,人,1435,4
7,07-09-2018,12:47:28,9,独占,DD,人,1296,3
7,07-09-2018,12:47:28,10,分享,CD,人,1723,2
7,07-09-2018,12:47:28,11,独占,DC,人,5560,4
7,07-09-2018,12:47:28,12,,,,,
7,07-09-2018,12:47:28,13,,,,,
7,07-09-2018,12:47:28,14,独占,DD,电脑,3703,3
7,07-09-2018,12:47:28,15,独占,DC,电脑,7534,4
7,07-09-2018,12:47:28,16,独占,DD,电脑,5838,3
7,07-09-2018,12:47:28,17,分享,CD,电脑,8652,2
7,07-09-2018,12:47:28,18,独占,DC,电脑,2534,3
7,07-09-2018,12:47:28,19,分享,CC,电脑,2573,4
7,07-09-2018,12:47:28,20,分享,CC,电脑,1180,4
7,07-09-2018,12:47:28,21,独占,DC,电脑,2756,3
7,07-09-2018,12:47:28,22,分享,CC,电脑,1892,5
7,07-09-2018,12:47:28,23,分享,CD,电脑,2397,3
7,07-09-2018,12:47:28,24,,,,,
7,07-09-2018,12:47:28,25,,,,,
7,07-09-2018,12:47:28,26,分享,CD,人,2089,3
7,07-09-2018,12:47:28,27,独占,DC,人,711,2
7,07-09-2018,12:47:28,28,独占,DD,人,2874,1
7,07-09-2018,12:47:28,29,分享,CC,人,1908,5
7,07-09-2018,12:47:28,30,分享,CD,人,3395,3
7,07-09-2018,12:47:28,31,分享,CC,人,2267,4
7,07-09-2018,12:47:28,32,独占,DC,人,1308,2
7,07-09-2018,12:47:28,33,分享,CC,人,1146,4
