Subject,SessionDate,SessionTime,Block,choose,outcome,partnerlabel,slideInvestment.RT,targettext
3,02-16-2022,9:48:06,1,,,,,
3,02-16-2022,9:48:06,2,分享,CD,人,2647,2
3,02-16-2022,9:48:06,3,分享,CC,人,2860,5
3,02-16-2022,9:48:06,4,独占,DC,人,1581,1
3,02-16-2022,9:48:06,5,独占,DC,人,2656,1
3,02-16-2022,9:48:06,6,分享,CD,人,1855,2
3,02-16-2022,9:48:06,7,分享,CC,人,1562,5
3,02-16-2022,9:48:06,8,分享,CD,人,1483,2
3,02-16-2022,9:48:06,9,独占,DD,人,945,2
3,02-16-2022,9:48:06,10,独占,DD,人,849,2
3,02-16-2022,9:48:06,11,分享,CC,人,327,5
3,02-16-2022,9:48:06,12,,,,,
3,02-16-2022,9:48:06,13,,,,,
3,02-16-2022,9:48:06,14,分享,CD,电脑,1271,1
3,02-16-2022,9:48:06,15,分享,CD,电脑,1147,1
3,02-16-2022,9:48:06,16,分享,CC,电脑,607,4
3,02-16-2022,9:48:06,17,独占,DC,电脑,500,4
3,02-16-2022,9:48:06,18,分享,CC,电脑,281,5
3,02-16-2022,9:48:06,19,分享,CD,电脑,536,1
3,02-16-2022,9:48:06,20,独占,DD,电脑,1250,2
3,02-16-2022,9:48:06,21,分享,CC,电脑,596,4
3,02-16-2022,9:48:06,22,独占,DD,电脑,463,2
3,02-16-2022,9:48:06,23,独占,DC,电脑,778,5
3,02-16-2022,9:48:06,24,,,,,
3,02-16-2022,9:48:06,25,,,,,
3,02-16-2022,9:48:06,26,分享,CC,人,1468,5
3,02-16-2022,9:48:06,27,独占,DC,人,878,2
3,02-16-2022,9:48:06,28,独占,DD,人,972,1
3,02-16-2022,9:48:06,29,分享,CD,人,1141,1
3,02-16-2022,9:48:06,30,分享,CD,人,824,1
3,02-16-2022,9:48:06,31,分享,CD,人,405,1
3,02-16-2022,9:48:06,32,分享,CD,人,305,1
3,02-16-2022,9:48:06,33,分享,CC,人,292,5
3,02-16-2022,9:48:06,34,独占,DC,人,548,1
3,02-16-2022,9:48:06,35,独占,DC,人,1013,1
3,02-16-2022,9:48:06,36,,,,,
3,02-16-2022,9:48:06,37,,,,,
3,02-16-2022,9:48:06,38,独占,DD,电脑,227,4
3,02-16-2022,9:48:06,39,独占,DC,电脑,110,3
3,02-16-2022,9:48:06,40,独占,DC,电脑,31,5
3,02-16-2022,9:48:06,41,独占,DC,电脑,648,5
3,02-16-2022,9:48:06,42,独占,DD,电脑,570,5
3,02-16-2022,9:48:06,43,独占,DD,电脑,435,5
3,02-16-2022,9:48:06,44,独占,DD,电脑,446,5
3,02-16-2022,9:48:06,45,独占,DC,电脑,307,5
3,02-16-2022,9:48:06,46,独占,DC,电脑,290,5
3,02-16-2022,9:48:06,47,独占,DD,电脑,318,5
7,02-09-2022,14:27:53,1,,,,,
7,02-09-2022,14:27:53,2,分享,CC,人,5771,5
7,02-09-2022,14:27:53,3,分享,CC,人,10095,5
7,02-09-2022,14:27:53,4,分享,CD,人,537,2
7,02-09-2022,14:27:53,5,分享,CD,人,1935,2
7,02-09-2022,14:27:53,6,分享,CC,人,903,5
7,02-09-2022,14:27:53,7,分享,CC,人,956,5
7,02-09-2022,14:27:53,8,分享,CC,人,1797,5
7,02-09-2022,14:27:53,9,分享,CD,人,831,2
7,02-09-2022,14:27:53,10,分享,CD,人,677,2
7,02-09-2022,14:27:53,11,分享,CC,人,1010,5
7,02-09-2022,14:27:53,12,,,,,
7,02-09-2022,14:27:53,13,,,,,
7,02-09-2022,14:27:53,14,独占,DC,电脑,445,4
7,02-09-2022,14:27:53,15,分享,CC,电脑,1181,5
7,02-09-2022,14:27:53,16,独占,DD,电脑,1759,2
7,02-09-2022,14:27:53,17,分享,CC,电脑,2207,5
7,02-09-2022,14:27:53,18,独占,DD,电脑,713,2
7,02-09-2022,14:27:53,19,独占,DD,电脑,1028,2
7,02-09-2022,14:27:53,20,分享,CC,电脑,638,5
7,02-09-2022,14:27:53,21,独占,DC,电脑,1741,4
7,02-09-2022,14:27:53,22,分享,CD,电脑,1200,1
7,02-09-2022,14:27:53,23,分享,CC,电脑,948,5
7,02-09-2022,14:27:53,24,,,,,
7,02-09-2022,14:27:53,25,,,,,
7,02-09-2022,14:27:53,26,分享,CD,人,398,1
7,02-09-2022,14:27:53,27,分享,CD,人,1084,1
7,02-09-2022,14:27:53,28,分享,CC,人,1807,5
7,02-09-2022,14:27:53,29,独占,DC,人,1240,4
7,02-09-2022,14:27:53,30,分享,CD,人,595,1
7,02-09-2022,14:27:53,31,分享,CC,人,1090,5
7,02-09-2022,14:27:53,32,独占,DD,人,702,3
7,02-09-2022,14:27:53,33,独占,DC,人,2227,4
7,02-09-2022,14:27:53,34,分享,CD,人,2090,1
7,02-09-2022,14:27:53,35,分享,CD,人,424,1
7,02-09-2022,14:27:53,36,,,,,
7,02-09-2022,14:27:53,37,,,,,
7,02-09-2022,14:27:53,38,独占,DC,电脑,2420,4
7,02-09-2022,14:27:53,39,分享,CC,电脑,2103,5
7,02-09-2022,14:27:53,40,分享,CD,电脑,547,2
7,02-09-2022,14:27:53,41,分享,CD,电脑,4058,2
7,02-09-2022,14:27:53,42,独占,DD,电脑,112,4
7,02-09-2022,14:27:53,43,独占,DD,电脑,862,4
7,02-09-2022,14:27:53,44,独占,DC,电脑,948,4
7,02-09-2022,14:27:53,45,分享,CD,电脑,432,2
7,02-09-2022,14:27:53,46,分享,CD,电脑,390,2
7,02-09-2022,14:27:53,47,分享,CC,电脑,762,5
18,02-16-2022,15:45:21,1,,,,,
18,02-16-2022,15:45:21,2,独占,DC,人,7502,3
18,02-16-2022,15:45:21,3,独占,DC,人,16897,5
18,02-16-2022,15:45:21,4,分享,CC,人,14629,4
18,02-16-2022,15:45:21,5,独占,DC,人,2776,4
18,02-16-2022,15:45:21,6,分享,CD,人,2947,1
18,02-16-2022,15:45:21,7,分享,CC,人,3319,5
18,02-16-2022,15:45:21,8,独占,DD,人,2388,2
18,02-16-2022,15:45:21,9,分享,CD,人,3564,1
18,02-16-2022,15:45:21,10,独占,DC,人,1991,4
18,02-16-2022,15:45:21,11,分享,CC,人,5346,5
18,02-16-2022,15:45:21,12,,,,,
18,02-16-2022,15:45:21,13,,,,,
18,02-16-2022,15:45:21,14,独占,DD,电脑,1191,2
18,02-16-2022,15:45:21,15,独占,DC,电脑,2415,3
