Subject,SessionDate,SessionTime,SVO_angle,SVO_type,DAL,DIA,DIC,DJG,IA_Index
3,02-16-2022,10:41:10,0.6614583,2,0.6388889,0.4444444,0.3611111,0.4583333,999
7,02-09-2022,15:24:30,0.5508021,2,0.4722222,2.78E-02,0.5277778,0.2916667,8.70E-02
8,08-22-2022,15:50:36,-0.2916667,4,1,0.5,0,0.5,999
10,08-29-2022,11:46:24,0.6455027,2,0.5694444,0.125,0.4305556,0.25,0.3333333
18,02-16-2022,16:46:02,0.3403141,3,0.5555556,0.1111111,0.4444444,0.3125,999
24,03-19-2022,17:44:26,0.1372549,3,1,0.5,0,0.5,999
32,02-18-2022,10:53:56,0.5642201,2,0.6666667,0.25,0.3333333,8.33E-02,0.75
40,04-04-2022,17:28:47,0.7458564,2,0.5277778,0.3333333,0.4722222,0.5416667,999
45,03-13-2022,11:38:48,0.6969697,2,0.6527778,0.1527778,0.3472222,0.2708333,0.3606557
50,08-11-2022,12:17:25,0.7668394,2,0.6111111,0.1388889,0.3888889,0.2916667,0.3225807
58,09-11-2022,16:29:08,0,3,1,0.5,0,0.5,999
66,03-20-2022,16:49:29,0,3,1,0.5,0,0.5,999
67,04-17-2022,12:02:40,0.7668394,2,0.5555556,5.56E-02,0.4444444,0.25,0.1818182
78,08-07-2022,11:45:15,0.5817307,2,0.75,0.25,0.25,0.3333333,999
85,08-21-2022,11:29:18,0.6969697,2,0.5138889,6.94E-02,0.4861111,0.2708333,0.2040816
87,01-27-2022,17:19:40,0.1372549,3,1,0.5,0,0.5,999
90,08-18-2022,11:46:40,0.7668394,2,0.5138889,1.39E-02,0.4861111,0.2291667,5.71E-02
104,08-15-2022,16:05:44,0.2622951,3,0.7222222,0.2222222,0.2777778,0.3125,999
105,08-08-2022,11:36:34,-0.2916667,4,1,0.5,0,0.5,999
106,04-10-2022,14:42:35,-0.1372549,3,1,0.5,0,0.5,999
108,09-10-2022,11:00:15,0.5365855,2,0.4444444,0.2222222,0.5555556,0.3125,0.4155844
111,08-16-2022,11:28:40,0.359447,3,0.9444444,0.4444444,5.56E-02,0.4166667,999
115,08-14-2022,10:31:26,0.8863636,2,0.5555556,5.56E-02,0.4444444,0.2916667,0.16
135,08-26-2022,10:57:29,-0.1198347,3,1,0.5,0,0.5,999
141,08-20-2022,10:58:40,-0.1225297,3,1,0.5,0,0.5,999
144,09-10-2022,15:24:53,0.483568,2,0.625,0.1527778,0.375,0.3958333,999
145,09-24-2022,12:57:50,0.1372549,3,0.5555556,0.4166667,0.4444444,0.3333333,999
146,08-31-2022,13:41:49,0.6969697,2,0.5138889,1.39E-02,0.4861111,0.2708333,4.88E-02
148,08-19-2022,11:59:20,3.53E-02,3,1,0.5,0,0.5,999
