ExperimentName	subjID	SessionDate	accept	offer	accept	Wait2.RT	targettext	trail
part1_UG_gain_f_red	3	01-04-2020	1	3.0	1	869.0	3.0	39
part1_UG_gain_f_red	3	01-04-2020	0	2.0	0	977.0	2.0	40
part1_UG_gain_f_red_1	6	01-04-2020	1	4.0	1	10729.0	3.0	1
part1_UG_gain_f_red_1	6	01-04-2020	1	5.0	1	1009.0	3.0	2
part1_UG_gain_f_red_1	6	01-04-2020	0	3.0	0	1970.0	2.0	3
part1_UG_gain_f_red_1	6	01-04-2020	0	2.0	0	902.0	2.0	4
part1_UG_gain_f_red_1	6	01-04-2020	0	1.0	0	784.0	2.0	5
part1_UG_gain_f_red_1	6	01-04-2020	1	3.0	1	4258.0	2.0	6
part1_UG_gain_f_red_1	6	01-04-2020	0	1.0	0	1550.0	1.0	7
part1_UG_gain_f_red_1	6	01-04-2020	0	2.0	0	2713.0	2.0	8
part1_UG_gain_f_red_1	6	01-04-2020	1	5.0	1	1192.0	4.0	9
part1_UG_gain_f_red_1	6	01-04-2020	1	4.0	1	765.0	3.0	10
part1_UG_gain_f_red_1	6	01-04-2020	1	3.0	1	3991.0	2.0	11
part1_UG_gain_f_red_1	6	01-04-2020	0	2.0	0	2494.0	2.0	12
part1_UG_gain_f_red_1	6	01-04-2020	0	1.0	0	811.0	1.0	13
part1_UG_gain_f_red_1	6	01-04-2020	1	4.0	1	2244.0	3.0	14
part1_UG_gain_f_red_1	6	01-04-2020	1	5.0	1	762.0	3.0	15
part1_UG_gain_f_red_1	6	01-04-2020	0	3.0	0	3266.0	2.0	16
part1_UG_gain_f_red_1	6	01-04-2020	1	5.0	1	1104.0	3.0	17
part1_UG_gain_f_red_1	6	01-04-2020	0	1.0	0	662.0	1.0	18
part1_UG_gain_f_red_1	6	01-04-2020	0	2.0	0	4294.0	2.0	19
part1_UG_gain_f_red_1	6	01-04-2020	1	4.0	1	3186.0	3.0	20
part1_UG_gain_f_red_1	6	01-04-2020	0	3.0	0	8342.0	2.0	21
part1_UG_gain_f_red_1	6	01-04-2020	1	5.0	1	570.0	3.0	22
part1_UG_gain_f_red_1	6	01-04-2020	0	1.0	0	709.0	1.0	23
part1_UG_gain_f_red_1	6	01-04-2020	0	2.0	0	11057.0	2.0	24
part1_UG_gain_f_red_1	6	01-04-2020	1	4.0	1	767.0	3.0	25
part1_UG_gain_f_red_1	6	01-04-2020	0	3.0	0	3060.0	2.0	26
part1_UG_gain_f_red_1	6	01-04-2020	1	5.0	1	734.0	3.0	27
part1_UG_gain_f_red_1	6	01-04-2020	0	2.0	0	503.0	3.0	28
part1_UG_gain_f_red_1	6	01-04-2020	0	1.0	0	588.0	1.0	29
part1_UG_gain_f_red_1	6	01-04-2020	1	4.0	1	1574.0	3.0	30
part1_UG_gain_f_red_1	6	01-04-2020	0	3.0	0	1005.0	2.0	31
part1_UG_gain_f_red_1	6	01-04-2020	1	5.0	1	437.0	3.0	32
part1_UG_gain_f_red_1	6	01-04-2020	0	1.0	0	510.0	1.0	33
part1_UG_gain_f_red_1	6	01-04-2020	0	2.0	0	3021.0	2.0	34
part1_UG_gain_f_red_1	6	01-04-2020	1	4.0	1	779.0	3.0	35
part1_UG_gain_f_red_1	6	01-04-2020	1	4.0	1	484.0	3.0	36
part1_UG_gain_f_red_1	6	01-04-2020	0	1.0	0	502.0	1.0	37
part1_UG_gain_f_red_1	6	01-04-2020	0	2.0	0	641.0	2.0	38
part1_UG_gain_f_red_1	6	01-04-2020	0	3.0	0	2214.0	2.0	39
part1_UG_gain_f_red_1	6	01-04-2020	1	5.0	1	615.0	4.0	40
part1_UG_gain_f_red_1	12	01-05-2020	0	2.0	0	6391.0	3.0	1
part1_UG_gain_f_red_1	12	01-05-2020	1	3.0	1	5837.0	2.0	2
part1_UG_gain_f_red_1	12	01-05-2020	1	4.0	1	2683.0	3.0	3
part1_UG_gain_f_red_1	12	01-05-2020	0	1.0	0	1010.0	3.0	4
part1_UG_gain_f_red_1	12	01-05-2020	1	5.0	1	902.0	3.0	5
part1_UG_gain_f_red_1	12	01-05-2020	1	5.0	1	694.0	3.0	6
part1_UG_gain_f_red_1	12	01-05-2020	1	4.0	1	943.0	2.0	7
part1_UG_gain_f_red_1	12	01-05-2020	0	3.0	0	829.0	3.0	8
part1_UG_gain_f_red_1	12	01-05-2020	0	2.0	0	761.0	3.0	9
part1_UG_gain_f_red_1	12	01-05-2020	0	1.0	0	1182.0	3.0	10
part1_UG_gain_f_red_1	12	01-05-2020	0	1.0	0	1097.0	3.0	11
part1_UG_gain_f_red_1	12	01-05-2020	1	3.0	1	629.0	3.0	12
part1_UG_gain_f_red_1	12	01-05-2020	0	2.0	0	919.0	3.0	13
part1_UG_gain_f_red_1	12	01-05-2020	1	5.0	1	550.0	4.0	14
part1_UG_gain_f_red_1	12	01-05-2020	1	4.0	1	806.0	2.0	15
part1_UG_gain_f_red_1	12	01-05-2020	1	4.0	1	800.0	2.0	16
part1_UG_gain_f_red_1	12	01-05-2020	0	3.0	0	522.0	3.0	17
part1_UG_gain_f_red_1	12	01-05-2020	1	5.0	1	605.0	3.0	18
part1_UG_gain_f_red_1	12	01-05-2020	0	1.0	0	529.0	3.0	19
part1_UG_gain_f_red_1	12	01-05-2020	0	2.0	0	1018.0	3.0	20
part1_UG_gain_f_red_1	12	01-05-2020	1	3.0	1	919.0	1.0	21
part1_UG_gain_f_red_1	12	01-05-2020	1	4.0	1	396.0	2.0	22
part1_UG_gain_f_red_1	12	01-05-2020	1	5.0	1	472.0	3.0	23
part1_UG_gain_f_red_1	12	01-05-2020	0	2.0	0	1003.0	3.0	24
part1_UG_gain_f_red_1	12	01-05-2020	0	1.0	0	494.0	3.0	25
part1_UG_gain_f_red_1	12	01-05-2020	1	5.0	1	348.0	3.0	26
part1_UG_gain_f_red_1	12	01-05-2020	0	1.0	0	446.0	3.0	27
part1_UG_gain_f_red_1	12	01-05-2020	0	2.0	0	739.0	3.0	28
part1_UG_gain_f_red_1	12	01-05-2020	1	4.0	1	377.0	2.0	29
part1_UG_gain_f_red_1	12	01-05-2020	1	3.0	1	552.0	3.0	30
part1_UG_gain_f_red_1	12	01-05-2020	1	5.0	1	276.0	3.0	31
