Subject,wave,gender,birth_date,scan_date,rural/urban,ethnicity,age
227,1,female,2011/5/21,2021/8/29,urban,han,10.28219178
228,1,male,2009/12/21,2021/2/28,urban,han,11.19726027
231,1,male,2014/8/11,2021/2/22,urban,han,6.539726027
232,1,male,2014/6/19,2021/8/18,urban,han,7.169863014
236,1,female,2012/3/29,2021/8/19,urban,han,9.397260274
238,1,male,2007/1/24,2021/2/20,urban,Manchu,14.08493151
239,1,female,2009/1/8,2021/8/20,urban,han,12.62191781
244,1,male,2010/6/5,2021/2/28,urban,han,10.74246575
245,1,male,2010/1/19,2021/3/13,urban,han,11.15342466
246,1,male,2012/10/2,2021/2/22,urban,han,8.397260274
247,1,female,2008/10/16,2021/5/9,urban,han,12.56986301
250,1,male,2008/7/9,2021/5/30,,han,12.89863014
254,1,female,2010/9/29,2021/5/22,urban,han,10.65205479
256,1,female,2009/5/30,2021/8/10,urban,han,12.20547945
262,1,female,2013/4/5,2021/5/30,urban,han,8.156164384
272,1,male,2011/5/4,2021/6/15,urban,han,10.12328767
277,1,male,2012/5/1,2021/7/3,urban,han,9.178082192
55,2,female ,,,,,21
72,2,female ,,,,,10
91,2,male,,,,,10
95,2,female ,,,,,11
145,2,male,,,,,9
188,1,male,,,,,9
216,1,female,,,,,10
234,1,male ,,,,,15
241,1,male,,,,,11
242,1,female,,,,,7
243,1,female,,,,,10
255,2,female,,,,,7
257,1,female,,,,,10
259,1,male,,,,,7
260,1,male,,,,,10
261,1,male,,,,,11
263,1,female,,,,,10
264,1,male,,,,,12
266,1,male,,,,,9
267,1,male,,,,,10
268,1,female,,,,,9
270,1,male,,,,,11
271,1,male,,,,,7
273,1,female,,,,,9
274,1,male,,,,,7
