Subject	Context	SessionDate	SessionTime	proposer	receivor	type	choose	Wait2.RT	targettext
174.0	gain	11-22-2020	16:10:38						
174.0	gain	11-22-2020	16:10:38	5.0	5.0	fair	接受	1825.0	3.0
174.0	gain	11-22-2020	16:10:38	6.0	4.0	fair	拒绝	3577.0	5.0
174.0	gain	11-22-2020	16:10:38	9.0	1.0	unfair	拒绝	3132.0	5.0
174.0	gain	11-22-2020	16:10:38	8.0	2.0	unfair	接受	5589.0	5.0
174.0	gain	11-22-2020	16:10:38	7.0	3.0	7月3日	接受	2142.0	4.0
174.0	gain	11-22-2020	16:10:38	6.0	4.0	fair	接受	2126.0	4.0
174.0	gain	11-22-2020	16:10:38	8.0	2.0	unfair	拒绝	3033.0	5.0
174.0	gain	11-22-2020	16:10:38	5.0	5.0	fair	接受	1447.0	3.0
174.0	gain	11-22-2020	16:10:38	9.0	1.0	unfair	拒绝	6556.0	3.0
174.0	gain	11-22-2020	16:10:38	7.0	3.0	7月3日	接受	5691.0	4.0
174.0	gain	11-22-2020	16:10:38						
174.0	gain	11-22-2020	16:10:38						
174.0	gain	11-22-2020	16:10:38	6.0	4.0	fair	接受	3299.0	4.0
174.0	gain	11-22-2020	16:10:38	9.0	1.0	unfair	拒绝	8035.0	3.0
174.0	gain	11-22-2020	16:10:38	7.0	3.0	7月3日	接受	1436.0	3.0
174.0	gain	11-22-2020	16:10:38	5.0	5.0	fair	接受	1307.0	3.0
174.0	gain	11-22-2020	16:10:38	8.0	2.0	unfair	接受	3138.0	3.0
174.0	gain	11-22-2020	16:10:38	9.0	1.0	unfair	拒绝	1209.0	3.0
174.0	gain	11-22-2020	16:10:38	6.0	4.0	fair	接受	1551.0	3.0
174.0	gain	11-22-2020	16:10:38	5.0	5.0	fair	接受	1258.0	3.0
174.0	gain	11-22-2020	16:10:38	7.0	3.0	7月3日	接受	3116.0	3.0
174.0	gain	11-22-2020	16:10:38	8.0	2.0	unfair	接受	3240.0	3.0
174.0	gain	11-22-2020	16:10:38						
174.0	gain	11-22-2020	16:10:38						
174.0	gain	11-22-2020	16:10:38	6.0	4.0	fair	接受	902.0	3.0
174.0	gain	11-22-2020	16:10:38	9.0	1.0	unfair	拒绝	2707.0	3.0
174.0	gain	11-22-2020	16:10:38	7.0	3.0	7月3日	接受	3214.0	4.0
174.0	gain	11-22-2020	16:10:38	5.0	5.0	fair	接受	1220.0	3.0
174.0	gain	11-22-2020	16:10:38	8.0	2.0	unfair	接受	2382.0	3.0
174.0	gain	11-22-2020	16:10:38	6.0	4.0	fair	接受	972.0	3.0
174.0	gain	11-22-2020	16:10:38	7.0	3.0	7月3日	接受	1510.0	3.0
174.0	gain	11-22-2020	16:10:38	5.0	5.0	fair	接受	1140.0	3.0
174.0	gain	11-22-2020	16:10:38	8.0	2.0	unfair	接受	1364.0	3.0
174.0	gain	11-22-2020	16:10:38	9.0	1.0	unfair	拒绝	1064.0	3.0
174.0	gain	11-22-2020	16:10:38						
174.0	gain	11-22-2020	16:10:38						
174.0	gain	11-22-2020	16:10:38	8.0	2.0	unfair	接受	8664.0	3.0
174.0	gain	11-22-2020	16:10:38	6.0	4.0	fair	接受	1221.0	3.0
174.0	gain	11-22-2020	16:10:38	5.0	5.0	fair	接受	637.0	3.0
