ExperimentName,Subject,Session,Clock.Information,DataFile.Basename,Display.RefreshRate,ExperimentVersion,Group,R1Color,R2Color,R3Color,R4Color,R5Color,R6Color,R7Color,R8Color,R9Color,RandomSeed,RuntimeVersion,SessionDate,SessionStartDateTimeUtc,SessionTime,StudioVersion,Block,choice,DAL,DIA,DIC,DJG,IA_Index,ListQues,ListSess,ListSess.Cycle,ListSess.Sample,other1,other2,other3,other4,other5,other6,other7,other8,other9,otherScore,Procedure,Running,SVO_angle,SVO_type,Trialnum,version,you1,you2,you3,you4,you5,you6,you7,you8,you9,yourScore
SVO Backup1,1,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2020-01-08T13:24:50Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">998831932159</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2020-01-08T13:24:50Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SVO Backup1-1-1,60,1.0.0.1,1,black,black,black,black,black,black,black,black,black,-1894697791,2.0.10.182,01-08-2020,2020/1/8 13:24,21:24:50,2.0.10.92,11,9,,,,,,11,1,2,11,100,96,93,89,85,81,78,74,70,,ProcTrial,ListSess,,,11,2,70,74,78,81,85,89,93,96,100,
SVO Backup1,1,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2020-01-08T13:24:50Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">998831932159</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2020-01-08T13:24:50Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SVO Backup1-1-1,60,1.0.0.1,1,black,black,black,black,black,black,black,black,black,-1894697791,2.0.10.182,01-08-2020,2020/1/8 13:24,21:24:50,2.0.10.92,12,9,,,,,,12,1,2,12,100,99,98,96,95,94,93,91,90,,ProcTrial,ListSess,,,12,2,50,56,63,69,75,81,88,94,100,
SVO Backup1,1,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2020-01-08T13:24:50Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">998831932159</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2020-01-08T13:24:50Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SVO Backup1-1-1,60,1.0.0.1,1,black,black,black,black,black,black,black,black,black,-1894697791,2.0.10.182,01-08-2020,2020/1/8 13:24,21:24:50,2.0.10.92,13,9,,,,,,13,1,2,13,100,94,88,81,75,69,63,56,50,,ProcTrial,ListSess,,,13,2,50,56,63,69,75,81,88,94,100,
SVO Backup1,1,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2020-01-08T13:24:50Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">998831932159</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2020-01-08T13:24:50Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SVO Backup1-1-1,60,1.0.0.1,1,black,black,black,black,black,black,black,black,black,-1894697791,2.0.10.182,01-08-2020,2020/1/8 13:24,21:24:50,2.0.10.92,14,1,,,,,,14,1,2,14,90,91,93,94,95,96,98,99,100,,ProcTrial,ListSess,,,14,2,100,96,93,89,85,81,78,74,70,
SVO Backup1,1,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2020-01-08T13:24:50Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">998831932159</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2020-01-08T13:24:50Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SVO Backup1-1-1,60,1.0.0.1,1,black,black,black,black,black,black,black,black,black,-1894697791,2.0.10.182,01-08-2020,2020/1/8 13:24,21:24:50,2.0.10.92,15,9,0.5694444,0.625,0.6805556,0.625,999,15,1,2,15,100,94,88,81,75,69,63,56,50,55.83333,ProcTrial,ListSess,0.1372549,3,15,2,90,91,93,94,95,96,98,99,100,92.5
SVO Backup1,10,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2020-01-08T13:32:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">1003378198413</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2020-01-08T13:32:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SVO Backup1-10-1,60.001,1.0.0.10,1,black,black,black,black,black,black,black,black,black,-1643391282,2.0.10.182,01-08-2020,2020/1/8 13:32,21:32:25,2.0.10.92,1,1,,,,,,1,1,2,1,85,76,68,59,50,41,33,24,15,,ProcTrial,ListSess,,,1,1,85,85,85,85,85,85,85,85,85,
SVO Backup1,10,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2020-01-08T13:32:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">1003378198413</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2020-01-08T13:32:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SVO Backup1-10-1,60.001,1.0.0.10,1,black,black,black,black,black,black,black,black,black,-1643391282,2.0.10.182,01-08-2020,2020/1/8 13:32,21:32:25,2.0.10.92,2,8,,,,,,2,1,2,2,15,19,24,28,33,37,41,46,50,,ProcTrial,ListSess,,,2,1,85,87,89,91,93,94,96,98,100,
SVO Backup1,10,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2020-01-08T13:32:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">1003378198413</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2020-01-08T13:32:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SVO Backup1-10-1,60.001,1.0.0.10,1,black,black,black,black,black,black,black,black,black,-1643391282,2.0.10.182,01-08-2020,2020/1/8 13:32,21:32:25,2.0.10.92,3,9,,,,,,3,1,2,3,100,98,96,94,93,91,89,87,85,,ProcTrial,ListSess,,,3,1,50,54,59,63,68,72,76,81,85,
SVO Backup1,10,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2020-01-08T13:32:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">1003378198413</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2020-01-08T13:32:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SVO Backup1-10-1,60.001,1.0.0.10,1,black,black,black,black,black,black,black,black,black,-1643391282,2.0.10.182,01-08-2020,2020/1/8 13:32,21:32:25,2.0.10.92,4,5,,,,,,4,1,2,4,100,89,79,68,58,47,36,26,15,,ProcTrial,ListSess,,,4,1,50,54,59,63,68,72,76,81,85,
SVO Backup1,10,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2020-01-08T13:32:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">1003378198413</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2020-01-08T13:32:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SVO Backup1-10-1,60.001,1.0.0.10,1,black,black,black,black,black,black,black,black,black,-1643391282,2.0.10.182,01-08-2020,2020/1/8 13:32,21:32:25,2.0.10.92,5,5,,,,,,5,1,2,5,50,56,63,69,75,81,88,94,100,,ProcTrial,ListSess,,,5,1,100,94,88,81,75,69,63,56,50,
