ExperimentName,Subject,Session,Clock.Information,DataFile.Basename,Display.RefreshRate,ExperimentVersion,Group,R1Color[Session],R2Color[Session],R3Color[Session],R4Color[Session],R5Color[Session],R6Color[Session],R7Color[Session],R8Color[Session],R9Color[Session],RandomSeed,RuntimeVersion,SessionDate,SessionStartDateTimeUtc,SessionTime,StudioVersion,Block,DAL,DIA,DIC,DJG,IA_Index,ListQues,ListSess,ListSess.Cycle,ListSess.Sample,other1,other2,other3,other4,other5,other6,other7,other8,other9,otherScore,Procedure,R0Color,R1Color[Block],R2Color[Block],R3Color[Block],R4Color[Block],R5Color[Block],R6Color[Block],R7Color[Block],R8Color[Block],R9Color[Block],RespDur,Running,SlideFB.ACC,SlideFB.CRESP,SlideFB.DurationError,SlideFB.OnsetDelay,SlideFB.OnsetTime,SlideFB.RESP,SlideFB.RT,SlideFB.RTTime,SlideTarget.ACC,SlideTarget.CRESP,SlideTarget.DurationError,SlideTarget.OnsetDelay,SlideTarget.OnsetTime,SlideTarget.RESP,SlideTarget.RT,SlideTarget.RTTime,SVO_angle,SVO_type,Trialnum,version,you1,you2,you3,you4,you5,you6,you7,you8,you9,yourScore
SVO,1231,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-06-25T09:20:59Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312714</Frequency><Timestamp dt:dt=""r8"">17564397125</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-06-25T09:20:59Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SVO-001231-1,59.893,1.0.0.130,1,black,black,black,black,black,black,black,black,black,385152912,2.0.10.182,06-25-2021,2021/6/25 9:20,17:20:59,2.0.10.92,11,,,,,,11,1,2,11,100,96,93,89,85,81,78,74,70,,ProcTrial,,black,black,cyan,black,black,black,black,black,black,2372,ListSess,0,,-999999,107,126354,{SPACE},3452,129806,0,,-999999,101,125118,3,1128,126246,,,11,2,70,74,78,81,85,89,93,96,100,
SVO,1231,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-06-25T09:20:59Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312714</Frequency><Timestamp dt:dt=""r8"">17564397125</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-06-25T09:20:59Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SVO-001231-1,59.893,1.0.0.130,1,black,black,black,black,black,black,black,black,black,385152912,2.0.10.182,06-25-2021,2021/6/25 9:20,17:20:59,2.0.10.92,12,,,,,,12,1,2,12,100,99,98,96,95,94,93,91,90,,ProcTrial,,black,black,cyan,black,black,black,black,black,black,1242,ListSess,0,,-999999,112,132799,{SPACE},1456,134255,0,,-999999,101,130428,3,2258,132686,,,12,2,50,56,63,69,75,81,88,94,100,
SVO,1231,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-06-25T09:20:59Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312714</Frequency><Timestamp dt:dt=""r8"">17564397125</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-06-25T09:20:59Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SVO-001231-1,59.893,1.0.0.130,1,black,black,black,black,black,black,black,black,black,385152912,2.0.10.182,06-25-2021,2021/6/25 9:20,17:20:59,2.0.10.92,13,,,,,,13,1,2,13,100,94,88,81,75,69,63,56,50,,ProcTrial,,black,cyan,black,black,black,black,black,black,black,2534,ListSess,0,,-999999,118,135954,{SPACE},662,136616,0,,-999999,101,134869,2,966,135835,,,13,2,50,56,63,69,75,81,88,94,100,
SVO,1231,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-06-25T09:20:59Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312714</Frequency><Timestamp dt:dt=""r8"">17564397125</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-06-25T09:20:59Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SVO-001231-1,59.893,1.0.0.130,1,black,black,black,black,black,black,black,black,black,385152912,2.0.10.182,06-25-2021,2021/6/25 9:20,17:20:59,2.0.10.92,14,,,,,,14,1,2,14,90,91,93,94,95,96,98,99,100,,ProcTrial,,black,black,black,black,black,black,black,cyan,black,690,ListSess,0,,-999999,111,140162,{SPACE},694,140856,0,,-999999,101,137240,8,2810,140050,,,14,2,100,96,93,89,85,81,78,74,70,
SVO,1231,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-06-25T09:20:59Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312714</Frequency><Timestamp dt:dt=""r8"">17564397125</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-06-25T09:20:59Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SVO-001231-1,59.893,1.0.0.130,1,black,black,black,black,black,black,black,black,black,385152912,2.0.10.182,06-25-2021,2021/6/25 9:20,17:20:59,2.0.10.92,15,0.1944444,0.3888889,0.8055556,0.6041667,999,15,1,2,15,100,94,88,81,75,69,63,56,50,80.66666,ProcTrial,,cyan,black,black,black,black,black,black,black,black,1903,ListSess,0,,-999999,122,143201,{SPACE},1115,144316,0,,-999999,101,141481,1,1597,143078,1.069767,2,15,2,90,91,93,94,95,96,98,99,100,78.66666
SVO,1241,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-07-11T10:14:19Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312734</Frequency><Timestamp dt:dt=""r8"">19838570627</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-07-11T10:14:19Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SVO-001241-1,59.893,1.0.0.131,1,black,black,black,black,black,black,black,black,black,-1635633012,2.0.10.182,07-11-2021,2021/7/11 10:14,18:14:19,2.0.10.92,1,,,,,,1,1,2,1,85,76,68,59,50,41,33,24,15,,ProcTrial,,black,cyan,black,black,black,black,black,black,black,-18582,ListSess,0,,-999999,123,42917,{SPACE},3135,46052,0,,-999999,135,20711,2,22082,42793,,,1,1,85,85,85,85,85,85,85,85,85,
SVO,1241,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-07-11T10:14:19Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312734</Frequency><Timestamp dt:dt=""r8"">19838570627</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-07-11T10:14:19Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SVO-001241-1,59.893,1.0.0.131,1,black,black,black,black,black,black,black,black,black,-1635633012,2.0.10.182,07-11-2021,2021/7/11 10:14,18:14:19,2.0.10.92,2,,,,,,2,1,2,2,15,19,24,28,33,37,41,46,50,,ProcTrial,,black,black,black,black,black,black,black,black,cyan,-11430,ListSess,0,,-999999,96,61701,{SPACE},1289,62990,0,,-999999,101,46674,9,14930,61604,,,2,1,85,87,89,91,93,94,96,98,100,
SVO,1241,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-07-11T10:14:19Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312734</Frequency><Timestamp dt:dt=""r8"">19838570627</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-07-11T10:14:19Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SVO-001241-1,59.893,1.0.0.131,1,black,black,black,black,black,black,black,black,black,-1635633012,2.0.10.182,07-11-2021,2021/7/11 10:14,18:14:19,2.0.10.92,3,,,,,,3,1,2,3,100,98,96,94,93,91,89,87,85,,ProcTrial,,black,black,black,black,cyan,black,black,black,black,2600,ListSess,0,,-999999,118,64606,{SPACE},502,65108,0,,-999999,84,63587,5,900,64487,,,3,1,50,54,59,63,68,72,76,81,85,
SVO,1241,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-07-11T10:14:19Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312734</Frequency><Timestamp dt:dt=""r8"">19838570627</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-07-11T10:14:19Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SVO-001241-1,59.893,1.0.0.131,1,black,black,black,black,black,black,black,black,black,-1635633012,2.0.10.182,07-11-2021,2021/7/11 10:14,18:14:19,2.0.10.92,4,,,,,,4,1,2,4,100,89,79,68,58,47,36,26,15,,ProcTrial,,black,black,black,cyan,black,black,black,black,black,2575,ListSess,0,,-999999,93,66743,{SPACE},634,67377,0,,-999999,101,65724,4,925,66649,,,4,1,50,54,59,63,68,72,76,81,85,
SVO,1241,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-07-11T10:14:19Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312734</Frequency><Timestamp dt:dt=""r8"">19838570627</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-07-11T10:14:19Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SVO-001241-1,59.893,1.0.0.131,1,black,black,black,black,black,black,black,black,black,-1635633012,2.0.10.182,07-11-2021,2021/7/11 10:14,18:14:19,2.0.10.92,5,,,,,,5,1,2,5,50,56,63,69,75,81,88,94,100,,ProcTrial,,black,black,black,black,black,black,cyan,black,black,-2113,ListSess,0,,-999999,114,73722,{SPACE},542,74264,0,,-999999,101,67995,7,5613,73608,,,5,1,100,94,88,81,75,69,63,56,50,
