Subject	SessionDate	SessionTime	Block	choose	outcome	partnerlabel	slideInvestment.RT	targettext
58	01-23-2021	15:03:45	1					
58	01-23-2021	15:03:45	2	独占	DD	人	10576.0	4.0
58	01-23-2021	15:03:45	3	独占	DC	人	2315.0	5.0
58	01-23-2021	15:03:45	4	分享	CD	人	4398.0	3.0
58	01-23-2021	15:03:45	5	独占	DC	人	2853.0	5.0
58	01-23-2021	15:03:45	6	分享	CC	人	4117.0	4.0
58	01-23-2021	15:03:45	7	独占	DD	人	1046.0	4.0
58	01-23-2021	15:03:45	8	独占	DC	人	5261.0	5.0
58	01-23-2021	15:03:45	9	分享	CD	人	4039.0	3.0
58	01-23-2021	15:03:45	10	独占	DC	人	2556.0	5.0
58	01-23-2021	15:03:45	11	独占	DD	人	2574.0	4.0
58	01-23-2021	15:03:45	12					
58	01-23-2021	15:03:45	13					
58	01-23-2021	15:03:45	14	独占	DC	电脑	3945.0	5.0
58	01-23-2021	15:03:45	15	独占	DC	电脑	1580.0	5.0
58	01-23-2021	15:03:45	16	独占	DD	电脑	1850.0	4.0
58	01-23-2021	15:03:45	17	分享	CD	电脑	3048.0	2.0
58	01-23-2021	15:03:45	18	独占	DC	电脑	1585.0	3.0
58	01-23-2021	15:03:45	19	独占	DD	电脑	5437.0	4.0
58	01-23-2021	15:03:45	20	独占	DC	电脑	14930.0	5.0
58	01-23-2021	15:03:45	21	独占	DC	电脑	3577.0	5.0
58	01-23-2021	15:03:45	22	独占	DD	电脑	7202.0	4.0
58	01-23-2021	15:03:45	23	独占	DD	电脑	2944.0	4.0
58	01-23-2021	15:03:45	24					
58	01-23-2021	15:03:45	25					
58	01-23-2021	15:03:45	26	独占	DD	人	3920.0	5.0
58	01-23-2021	15:03:45	27	独占	DD	人	8182.0	5.0
58	01-23-2021	15:03:45	28	独占	DC	人	6216.0	5.0
58	01-23-2021	15:03:45	29	分享	CC	人	9041.0	5.0
58	01-23-2021	15:03:45	30	独占	DC	人	1467.0	5.0
58	01-23-2021	15:03:45	31	独占	DC	人	1722.0	5.0
58	01-23-2021	15:03:45	32	独占	DD	人	1602.0	4.0
58	01-23-2021	15:03:45	33	分享	CD	人	4491.0	5.0
58	01-23-2021	15:03:45	34	独占	DD	人	2202.0	4.0
58	01-23-2021	15:03:45	35	独占	DC	人	3075.0	5.0
58	01-23-2021	15:03:45	36					
58	01-23-2021	15:03:45	37					
58	01-23-2021	15:03:45	38	独占	DD	电脑	552.0	4.0
58	01-23-2021	15:03:45	39	独占	DC	电脑	1140.0	5.0
58	01-23-2021	15:03:45	40	独占	DD	电脑	1604.0	5.0
58	01-23-2021	15:03:45	41	独占	DD	电脑	1476.0	5.0
58	01-23-2021	15:03:45	42	独占	DC	电脑	1279.0	5.0
58	01-23-2021	15:03:45	43	独占	DC	电脑	2795.0	5.0
58	01-23-2021	15:03:45	44	独占	DD	电脑	3482.0	4.0
58	01-23-2021	15:03:45	45	独占	DC	电脑	528.0	5.0
58	01-23-2021	15:03:45	46	独占	DD	电脑	3521.0	4.0
58	01-23-2021	15:03:45	47	分享	CC	电脑	1042.0	4.0
