Subject	SessionDate	SessionTime	Block	choose	outcome	partnerlabel	slideInvestment.RT	targettext
91	09-19-2021	14:27:05	1					
91	09-19-2021	14:27:05	2	独占	DD	人	108.0	4.0
91	09-19-2021	14:27:05	3	独占	DD	人	4182.0	4.0
91	09-19-2021	14:27:05	4	分享	CC	人	623.0	5.0
91	09-19-2021	14:27:05	5	独占	DD	人	1874.0	4.0
91	09-19-2021	14:27:05	6	分享	CC	人	422.0	5.0
91	09-19-2021	14:27:05	7	独占	DD	人	6977.0	4.0
91	09-19-2021	14:27:05	8	分享	CD	人	1619.0	4.0
91	09-19-2021	14:27:05	9	独占	DC	人	3391.0	5.0
91	09-19-2021	14:27:05	10	分享	CC	人	1924.0	5.0
91	09-19-2021	14:27:05	11	分享	CD	人	10309.0	2.0
91	09-19-2021	14:27:05	12					
91	09-19-2021	14:27:05	13					
91	09-19-2021	14:27:05	14	分享	CD	电脑	403.0	1.0
91	09-19-2021	14:27:05	15	分享	CC	电脑	329.0	3.0
91	09-19-2021	14:27:05	16	独占	DD	电脑	2378.0	4.0
91	09-19-2021	14:27:05	17	分享	CD	电脑	805.0	3.0
91	09-19-2021	14:27:05	18	独占	DD	电脑	1068.0	4.0
91	09-19-2021	14:27:05	19	分享	CD	电脑	746.0	3.0
91	09-19-2021	14:27:05	20	分享	CC	电脑	831.0	3.0
91	09-19-2021	14:27:05	21	独占	DD	电脑	2431.0	4.0
91	09-19-2021	14:27:05	22	独占	DC	电脑	1758.0	5.0
91	09-19-2021	14:27:05	23	分享	CD	电脑	2322.0	3.0
91	09-19-2021	14:27:05	24					
91	09-19-2021	14:27:05	25					
91	09-19-2021	14:27:05	26	分享	CC	人	401.0	5.0
91	09-19-2021	14:27:05	27	独占	DC	人	484.0	5.0
91	09-19-2021	14:27:05	28	独占	DC	人	678.0	5.0
91	09-19-2021	14:27:05	29	分享	CD	人	774.0	1.0
91	09-19-2021	14:27:05	30	独占	DD	人	2168.0	4.0
91	09-19-2021	14:27:05	31	独占	DC	人	730.0	3.0
91	09-19-2021	14:27:05	32	分享	CC	人	1375.0	3.0
91	09-19-2021	14:27:05	33	独占	DC	人	119700.0	4.0
91	09-19-2021	14:27:05	34	独占	DD	人	1179.0	4.0
91	09-19-2021	14:27:05	35	独占	DD	人	4458.0	4.0
91	09-19-2021	14:27:05	36					
91	09-19-2021	14:27:05	37					
91	09-19-2021	14:27:05	38	独占	DC	电脑	314.0	5.0
91	09-19-2021	14:27:05	39	分享	CD	电脑	374.0	4.0
91	09-19-2021	14:27:05	40	独占	DC	电脑	1219.0	5.0
91	09-19-2021	14:27:05	41	独占	DC	电脑	982.0	5.0
91	09-19-2021	14:27:05	42	独占	DD	电脑	536.0	3.0
91	09-19-2021	14:27:05	43	独占	DC	电脑	1541.0	2.0
91	09-19-2021	14:27:05	44	独占	DC	电脑	1551.0	4.0
91	09-19-2021	14:27:05	45	分享	CC	电脑	1152.0	5.0
91	09-19-2021	14:27:05	46	独占	DD	电脑	581.0	5.0
91	09-19-2021	14:27:05	47	独占	DC	电脑	417.0	5.0
