C:\Users\xinlai\OneDrive - mails.ucas.edu.cn\beh_2023\convert\step2_merge\SVO\New_SVO_wave1.emrg2
ExperimentName	Subject	Session	Clock.Information	DataFile.Basename	Display.RefreshRate	ExperimentVersion	Group	R1Color[Session]	R2Color[Session]	R3Color[Session]	R4Color[Session]	R5Color[Session]	R6Color[Session]	R7Color[Session]	R8Color[Session]	R9Color[Session]	RandomSeed	RuntimeVersion	RuntimeVersionExpected	SessionDate	SessionStartDateTimeUtc	SessionTime	StudioVersion	Block	DAL	DIA	DIC	DJG	IA_Index	ListQues	ListSess	ListSess.Cycle	ListSess.Sample	other1	other2	other3	other4	other5	other6	other7	other8	other9	otherScore	Procedure	R0Color	R1Color[Block]	R2Color[Block]	R3Color[Block]	R4Color[Block]	R5Color[Block]	R6Color[Block]	R7Color[Block]	R8Color[Block]	R9Color[Block]	RespDur	Running	SlideTarget.ACC	SlideTarget.CRESP	SlideTarget.DurationError	SlideTarget.OnsetDelay	SlideTarget.OnsetTime	SlideTarget.OnsetToOnsetTime	SlideTarget.RESP	SlideTarget.RT	SlideTarget.RTTime	SVO_angle	SVO_type	Trialnum	version	you1	you2	you3	you4	you5	you6	you7	you8	you9	yourScore
SVO Backup1	146	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-10-01T06:12:58Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742343</Frequency><Timestamp dt:dt="r8">11468251027</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-10-01T06:12:58Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	SVO Backup1-146-1	60.067	1.0.0.3	1	black	black	black	black	black	black	black	black	black	-1416112249	2.0.10.242	2.0.10.242	10-01-2019	2019/10/1 6:12:59	14:12:59	2.0.10.147	11						11	1	2	11	100	96	93	89	85	81	78	74	70		ProcTrial		black	black	black	black	black	black	black	black	cyan	724	ListSess	0		-999999	49	97894	0	9	2776	100670			11	2	70	74	78	81	85	89	93	96	100	
SVO Backup1	146	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-10-01T06:12:58Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742343</Frequency><Timestamp dt:dt="r8">11468251027</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-10-01T06:12:58Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	SVO Backup1-146-1	60.067	1.0.0.3	1	black	black	black	black	black	black	black	black	black	-1416112249	2.0.10.242	2.0.10.242	10-01-2019	2019/10/1 6:12:59	14:12:59	2.0.10.147	12						12	1	2	12	100	99	98	96	95	94	93	91	90		ProcTrial		black	black	black	black	black	black	black	black	cyan	-1801	ListSess	0		-999999	50	103139	0	9	5301	108440			12	2	50	56	63	69	75	81	88	94	100	
SVO Backup1	146	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-10-01T06:12:58Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742343</Frequency><Timestamp dt:dt="r8">11468251027</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-10-01T06:12:58Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	SVO Backup1-146-1	60.067	1.0.0.3	1	black	black	black	black	black	black	black	black	black	-1416112249	2.0.10.242	2.0.10.242	10-01-2019	2019/10/1 6:12:59	14:12:59	2.0.10.147	13						13	1	2	13	100	94	88	81	75	69	63	56	50		ProcTrial		black	black	black	black	black	black	black	black	cyan	1302	ListSess	0		-999999	49	110597	0	9	2198	112795			13	2	50	56	63	69	75	81	88	94	100	
SVO Backup1	146	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-10-01T06:12:58Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742343</Frequency><Timestamp dt:dt="r8">11468251027</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-10-01T06:12:58Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	SVO Backup1-146-1	60.067	1.0.0.3	1	black	black	black	black	black	black	black	black	black	-1416112249	2.0.10.242	2.0.10.242	10-01-2019	2019/10/1 6:12:59	14:12:59	2.0.10.147	14						14	1	2	14	90	91	93	94	95	96	98	99	100		ProcTrial		cyan	black	black	black	black	black	black	black	black	999	ListSess	0		-999999	50	117856	0	1	2501	120357			14	2	100	96	93	89	85	81	78	74	70	
SVO Backup1	146	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-10-01T06:12:58Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742343</Frequency><Timestamp dt:dt="r8">11468251027</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-10-01T06:12:58Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	SVO Backup1-146-1	60.067	1.0.0.3	1	black	black	black	black	black	black	black	black	black	-1416112249	2.0.10.242	2.0.10.242	10-01-2019	2019/10/1 6:12:59	14:12:59	2.0.10.147	15	1	0.5	0	0.5	999	15	1	2	15	100	94	88	81	75	69	63	56	50	52.16667	ProcTrial		black	black	black	black	black	black	black	black	cyan	-3101	ListSess	0		-999999	50	121352	0	9	6601	127953	5.284556E-02	3	15	2	90	91	93	94	95	96	98	99	100	91
SVO	4	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-08-25T09:40:55Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742275</Frequency><Timestamp dt:dt="r8">85677104224</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-08-25T09:40:55Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	SVO-004-1	60.067	1.0.0.2	1	black	black	black	black	black	black	black	black	black	-222064993	2.0.10.182		08-25-2018	2018/8/25 9:40:55	17:40:55	2.0.10.92	1						1	1	2	1	85	76	68	59	50	41	33	24	15		ProcTrial		black	cyan	black	black	black	black	black	black	black	-34604	ListSess	0		-999999	49	8273		2	38104	46377			1	1	85	85	85	85	85	85	85	85	85	
SVO	4	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-08-25T09:40:55Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742275</Frequency><Timestamp dt:dt="r8">85677104224</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-08-25T09:40:55Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	SVO-004-1	60.067	1.0.0.2	1	black	black	black	black	black	black	black	black	black	-222064993	2.0.10.182		08-25-2018	2018/8/25 9:40:55	17:40:55	2.0.10.92	2						2	1	2	2	15	19	24	28	33	37	41	46	50		ProcTrial		black	black	black	black	black	black	black	black	cyan	-17945	ListSess	0		-999999	33	52426		9	21445	73871			2	1	85	87	89	91	93	94	96	98	100	
SVO	4	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-08-25T09:40:55Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742275</Frequency><Timestamp dt:dt="r8">85677104224</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-08-25T09:40:55Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	SVO-004-1	60.067	1.0.0.2	1	black	black	black	black	black	black	black	black	black	-222064993	2.0.10.182		08-25-2018	2018/8/25 9:40:55	17:40:55	2.0.10.92	3						3	1	2	3	100	98	96	94	93	91	89	87	85		ProcTrial		black	black	black	black	black	cyan	black	black	black	-37736	ListSess	0		-999999	33	92100		6	41236	133336			3	1	50	54	59	63	68	72	76	81	85	
SVO	4	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-08-25T09:40:55Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742275</Frequency><Timestamp dt:dt="r8">85677104224</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-08-25T09:40:55Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	SVO-004-1	60.067	1.0.0.2	1	black	black	black	black	black	black	black	black	black	-222064993	2.0.10.182		08-25-2018	2018/8/25 9:40:55	17:40:55	2.0.10.92	4						4	1	2	4	100	89	79	68	58	47	36	26	15		ProcTrial		black	black	black	black	black	black	black	black	cyan	-14683	ListSess	0		-999999	33	136336		9	18183	154519			4	1	50	54	59	63	68	72	76	81	85	
SVO	4	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-08-25T09:40:55Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742275</Frequency><Timestamp dt:dt="r8">85677104224</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-08-25T09:40:55Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	SVO-004-1	60.067	1.0.0.2	1	black	black	black	black	black	black	black	black	black	-222064993	2.0.10.182		08-25-2018	2018/8/25 9:40:55	17:40:55	2.0.10.92	5						5	1	2	5	50	56	63	69	75	81	88	94	100		ProcTrial		black	black	black	black	black	black	cyan	black	black	-10336	ListSess	0		-999999	49	156947		7	13836	170783			5	1	100	94	88	81	75	69	63	56	50	
